,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
11805,Aerocytes,B-cells,Fn1,Cd79a,3.1829693,0.0,9.851899,3.1477969,3.502686,0.27436167,0.9687847,0.22394389241713822,0.0,2.656875913701156e-09,9.038300221290963e-16
22578,Lymphatic endothelial,Dendritic cells,App,Cd74,3.2214384,0.0,7.133852,1.2832768,1.4953618,0.01960673,0.9635164,0.1749353535245189,0.0,4.7439633291014e-08,1.0122360626289344e-15
8288,Aerocytes,Alveolar macrophages,Fn1,Cd44,2.7194033,0.0,6.4108033,2.099922,2.4155455,0.06762695,0.9615909,0.15971648091939586,0.0,4.7439633291014e-08,2.7553317537464496e-12
45312,Aerocytes,SMCS,Fn1,Itga8_Itgb1,2.6286032,0.0,5.7367864,2.113131,2.2551374,0.051330242,0.959486,0.1412775272591345,0.0,4.7439633291014e-08,8.9820717791672e-12
45310,Aerocytes,SMCS,Fn1,Itga4_Itgb1,2.6286032,0.0,5.7367864,2.113131,2.2551374,0.051330242,0.959486,0.1412775272591345,0.0,4.7439633291014e-08,8.9820717791672e-12
45309,Aerocytes,SMCS,Fn1,Itga5_Itgb1,2.6286032,0.0,5.7367864,2.113131,2.2551374,0.051330242,0.959486,0.1412775272591345,0.0,4.7439633291014e-08,8.9820717791672e-12
45308,Aerocytes,SMCS,Fn1,Itgav_Itgb1,2.6286032,0.0,5.7367864,2.113131,2.2551374,0.051330242,0.959486,0.1412775272591345,0.0,4.7439633291014e-08,8.9820717791672e-12
45311,Aerocytes,SMCS,Fn1,Itga3_Itgb1,2.6286032,0.0,5.7367864,2.113131,2.2551374,0.051330242,0.959486,0.1412775272591345,0.0,4.7439633291014e-08,8.9820717791672e-12
13880,Dendritic cells pDC,CD4 T-cells,B2m,Cd3g,2.5063624,0.0,5.4872446,1.5233766,1.67385,0.052495115,0.95861274,0.14670659482920545,0.0,4.7439633291014e-08,3.711095908935658e-11
4919,Aerocytes,Aerocytes,Fn1,Itga6,2.5018482,0.0,4.795871,2.7052836,2.4217813,0.15045735,0.9558572,0.12921598318144892,0.0,4.7439633291014e-08,3.8747920606161737e-11
26431,Adventitial fibroblast,Endothelial,Col1a2,Cd36,2.4657946,0.0,5.9721556,2.2323189,3.5437198,0.16281109,0.96026033,0.15373188535679855,0.0,4.7439633291014e-08,5.157296282285318e-11
13878,Dendritic cells pDC,CD4 T-cells,B2m,Cd3d,2.4556956,0.0,5.142936,1.51431,1.580138,0.055794034,0.957308,0.14255488849969652,0.0,4.7439633291014e-08,6.003471637818975e-11
