,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
9376,Aerocytes,B-cells,Fn1,Cd79a,3.1829329,0.0,9.811611,4.019882,4.3311462,0.40280426,0.9696946,0.22440304379135798,0.0,1.3998551262719615e-10,3.847334056008357e-15
28250,Neutrophils,Epithelial,S100a8,Ager,3.2567396,0.0,9.969814,1.8793207,3.1035824,0.3058923,0.9699288,0.2073721930224718,0.0,5.896894888460695e-08,4.232456963483747e-15
19118,Lymphatic endothelial,Dendritic cells,App,Cd74,3.239988,0.0,7.1616917,1.4721282,1.8131897,0.022210008,0.9647106,0.17375724703692957,0.0,5.896894888460695e-08,3.3859492689162604e-14
6348,Aerocytes,Alveolar macrophages,Fn1,Cd44,3.0726197,0.0,8.9846735,4.0023,3.8226585,0.120438896,0.96837384,0.2082108349055458,0.0,5.896894888460695e-08,7.295628611136674e-14
24715,Neutrophils,Endothelial,S100a8,Cd36,3.0441184,0.0,8.245635,1.5706112,1.7573819,0.12593448,0.9670327,0.20336024793392352,0.0,5.896894888460695e-08,1.0387705057064791e-13
5434,Neutrophils,Aerocytes,S100a8,Itgb2,2.7829475,0.0,6.1277633,1.8407463,1.4910531,0.09975465,0.9619583,0.16277880239405326,0.0,5.896894888460695e-08,2.8046018811397e-12
42882,Dendritic cells pDC,T-Cells,B2m,Cd3g,2.5685816,0.0,6.050571,1.613348,1.5897577,0.041951176,0.96172565,0.14535182680051995,0.0,5.896894888460695e-08,3.735036651728383e-11
3508,Aerocytes,Aerocytes,Fn1,Itga6,2.5316381,0.0,4.9293337,4.480565,3.3354993,0.25136286,0.95776993,0.12977436170231257,0.0,4.004582792527498e-09,6.010786586417429e-11
28251,Neutrophils,Epithelial,S100a9,Ager,2.518312,0.0,6.3383665,1.6139332,2.9874067,0.29973724,0.9625718,0.12034091151922333,0.0,5.896894888460695e-08,6.761285905489835e-11
3450,Aerocytes,Aerocytes,Fn1,Itga4_Itgb1,2.4923506,0.0,4.6348233,3.370223,2.9218311,0.06784027,0.9565063,0.11664002399699105,0.0,5.896894888460695e-08,8.749788253211426e-11
2393,Lymphatic endothelial,Adventitial fibroblast,C3,Cd81,2.482409,0.0,6.098822,2.2936785,3.0006704,0.08316862,0.96187156,0.15635696093988308,0.0,5.896894888460695e-08,1.0044031935995132e-10
39266,Aerocytes,SMCS,Fn1,Itga8_Itgb1,2.4771688,0.0,4.5210166,3.3421092,2.9494646,0.06617447,0.95598626,0.1221151447174446,0.0,5.896894888460695e-08,1.1645814252992491e-10
39264,Aerocytes,SMCS,Fn1,Itga5_Itgb1,2.4771688,0.0,4.5210166,3.3421092,2.9494646,0.06617447,0.95598626,0.1221151447174446,0.0,5.896894888460695e-08,1.1645814252992491e-10
39265,Aerocytes,SMCS,Fn1,Itga3_Itgb1,2.4771688,0.0,4.5210166,3.3421092,2.9494646,0.06617447,0.95598626,0.1221151447174446,0.0,5.896894888460695e-08,1.1645814252992491e-10
39263,Aerocytes,SMCS,Fn1,Itgav_Itgb1,2.4771688,0.0,4.5210166,3.3421092,2.9494646,0.06617447,0.95598626,0.1221151447174446,0.0,5.896894888460695e-08,1.1645814252992491e-10
1954,Interstitial Macrophage,Adventitial fibroblast,Apoe,Lrp1,2.4726868,0.0,4.6354394,1.8628819,2.9846978,0.043154445,0.9565091,0.1316287633932884,0.0,5.896894888460695e-08,1.4247236619577417e-10
562,Alveolar macrophages,Adventitial fibroblast,Psap,Lrp1,2.4595847,0.0,4.6025095,1.9241948,2.4809895,0.026717698,0.9563606,0.12050289683114562,0.0,5.896894888460695e-08,1.74532875275214e-10
31662,Neutrophils,Interstitial Macrophage,S100a8,Cd68,2.526625,0.0,4.0492053,1.6962795,1.3767643,0.08561393,0.95360833,0.09961294421995079,0.0,5.896894888460695e-08,3.135123731443784e-10
42880,Dendritic cells pDC,T-Cells,B2m,Cd3d,2.3949704,0.0,4.901888,1.4578426,1.3832209,0.03719431,0.95765686,0.12294246488987425,0.0,5.896894888460695e-08,3.5051637194161676e-10
6548,Alveolar macrophages,Alveolar macrophages,Lpl,Cd44,2.3718219,0.0,5.6249003,2.738134,2.883175,0.11796466,0.96036017,0.14491554966997613,0.0,5.896894888460695e-08,4.165908360353325e-10
20641,Dendritic cells,Dendritic cells pDC,H2-Ab1,Lag3,2.4318278,0.0,3.694993,5.388074,2.3356373,0.1844623,0.9515409,0.09392577667328167,0.0,3.132856392991904e-08,5.94971182664689e-10
20640,Dendritic cells,Dendritic cells pDC,H2-Aa,Lag3,2.4086955,0.0,3.6513994,5.3000784,2.221487,0.17138201,0.9512666,0.09342798196596806,0.0,5.1038805679589885e-08,6.181473371813097e-10
24716,Neutrophils,Endothelial,S100a9,Cd36,2.3056908,0.0,5.24221,1.3052237,1.6412063,0.12340048,0.9589971,0.11776256511851409,0.0,5.896894888460695e-08,6.998905511468187e-10
7223,Dendritic cells,Alveolar macrophages,Vim,Cd44,2.29538,0.0,5.2584214,1.8840358,1.9216037,0.026975377,0.95905775,0.13396752520869384,0.0,5.896894888460695e-08,7.504614873107313e-10
11596,Lymphatic endothelial,CD4 T-cells,App,Rpsa,2.2889707,0.0,4.4730473,1.0464635,1.084511,0.010145917,0.9557613,0.11741507487935282,0.0,4.363283888088018e-07,8.587948394844085e-10
8188,Lymphatic endothelial,Alveolar macrophages,Timp2,Cd44,2.285975,0.0,5.2133317,2.4164624,2.6123123,0.060613178,0.95888835,0.13361511839923249,0.0,5.896894888460695e-08,8.874162569221206e-10
5179,Lymphatic endothelial,Aerocytes,C3,Itgam,2.2063112,0.0,4.5888615,3.6436,3.0287468,0.22920983,0.95629853,0.12130861553281641,0.0,6.869259642368287e-09,1.4757759538825143e-09
25972,Aerocytes,Epithelial,Fn1,Sdc1,2.30692,0.0,3.2447867,3.6019526,3.0408635,0.22148095,0.9484559,0.08765032114308083,0.0,8.953390650680049e-09,1.4757759538825143e-09
20642,Dendritic cells,Dendritic cells pDC,H2-Eb1,Lag3,2.204022,0.0,3.2656853,5.337796,2.1435738,0.18664458,0.9486127,0.08370239332044443,0.0,2.867739273182101e-08,2.1933806224065745e-09
24108,Interstitial Macrophage,Endothelial,C1qa,Cd93,2.1513405,0.0,4.0199037,2.8453736,3.5244446,0.23655133,0.9534474,0.12349285742379816,0.0,5.5564678875383906e-09,2.5324648626897075e-09
36889,B-cells,Neutrophils,Rps19,C5ar1,2.4734075,0.0,3.6896238,1.2132324,1.1890838,0.025260601,0.9515074,0.08252730812338116,0.0,5.896894888460695e-08,2.6288893788165537e-09
20156,Aerocytes,Dendritic cells pDC,Fn1,Plaur,2.3127503,0.0,3.2884922,3.447759,2.9808726,0.116295524,0.94878197,0.08244873882089504,0.0,5.896894888460695e-08,2.659812903590423e-09
6096,Adventitial fibroblast,Alveolar macrophages,Timp3,Cd44,2.14612,0.0,4.5428367,2.2562408,2.63307,0.086443394,0.9560874,0.11880925801946336,0.0,5.896894888460695e-08,2.711138084867039e-09
12244,Aerocytes,Classical monocytes,Lyz2,Itgal,2.583713,0.0,3.169497,1.6276963,1.8120438,0.037364736,0.9478791,0.07995975808750727,0.0,5.896894888460695e-08,3.3664445360448336e-09
22215,Aerocytes,Endothelial,Thbs1,Cd36,2.1177318,0.0,4.4777203,3.0854268,2.5521085,0.11256958,0.95578337,0.11888168041388168,0.0,5.896894888460695e-08,3.4737320215295435e-09
36646,Aerocytes,Neutrophils,Fn1,C5ar1,2.3316486,0.0,3.4301584,3.3045535,2.9892652,0.15119076,0.94979715,0.07747179433537209,0.0,5.896894888460695e-08,3.981694272548616e-09
28898,Transitioning epithelial,Epithelial,S100a1,Ager,2.1026905,0.0,4.2944183,2.0688262,3.3097804,0.109317906,0.9548917,0.10121361425954184,0.0,5.896894888460695e-08,4.121031762364366e-09
6080,Adventitial fibroblast,Alveolar macrophages,Col1a2,Cd44,2.0971346,0.0,4.3079896,2.459651,2.9007218,0.1123599,0.9549596,0.11475258116416746,0.0,5.896894888460695e-08,4.451609831339178e-09
12243,Aerocytes,Classical monocytes,Lyz1,Itgal,2.3538558,0.0,2.84252,1.6404662,1.7576873,0.039320167,0.9451229,0.07218122971241842,0.0,5.896894888460695e-08,7.248763622800443e-09
24494,Lymphatic endothelial,Endothelial,C3,Nrp1,2.0537848,0.0,3.7547047,2.1612198,2.767593,0.11602666,0.9519091,0.105178892426281,0.0,5.896894888460695e-08,7.450070499801013e-09
5435,Neutrophils,Aerocytes,S100a9,Itgb2,2.04452,0.0,3.8957605,1.5753587,1.3748775,0.097747415,0.9527463,0.0922837877723503,0.0,5.896894888460695e-08,8.126814247205839e-09
1962,Interstitial Macrophage,Adventitial fibroblast,C1qb,Lrp1,2.041905,0.0,3.5527537,2.724696,3.093165,0.102435835,0.95062774,0.10534560986326218,0.0,5.896894888460695e-08,8.578110115125636e-09
5427,Neutrophils,Aerocytes,Hp,Itgam,2.0346262,0.0,4.0126333,3.0084581,2.069214,0.14230362,0.9534072,0.10507903957201993,0.0,5.896894888460695e-08,8.910489407103737e-09
22832,Classical monocytes,Endothelial,Lgals3,Eng,2.0276499,0.0,3.9564507,1.9655707,2.2967324,0.08731572,0.9530931,0.10996431090401326,0.0,5.896894888460695e-08,9.320541036614907e-09
4364,Dendritic cells pDC,Aerocytes,Lgals1,Itgb1,2.020636,0.0,3.4682086,1.7051386,1.4625772,0.022196973,0.95005953,0.09132030818222063,0.0,5.896894888460695e-08,9.742980986192167e-09
1931,Interstitial Macrophage,Adventitial fibroblast,Apoe,Sdc2,2.1895864,0.0,2.5468824,1.8661978,2.7224443,0.06963715,0.94220436,0.07182887215628166,0.0,5.896894888460695e-08,9.742980986192167e-09
42908,Dendritic cells pDC,T-Cells,B2m,Cd247,2.0562818,0.0,2.660986,1.4481726,1.0961369,0.04291024,0.9433861,0.06748103665720528,0.0,5.896894888460695e-08,1.2110516421470804e-08
42978,Endothelial,T-Cells,H2-K1,Cd3g,1.9987142,0.0,3.9660418,1.5259142,1.5717447,0.04696524,0.9531472,0.10185502355129467,0.0,5.896894888460695e-08,1.2379700531248787e-08
2216,Lymphatic endothelial,Adventitial fibroblast,C3,Lrp1,1.995559,0.0,3.4362721,2.3505778,2.739371,0.10263331,0.94983965,0.09534743894917189,0.0,5.896894888460695e-08,1.2632854952174376e-08
8480,Neutrophils,Alveolar macrophages,Pkm,Cd44,1.9944876,0.0,3.8158789,1.9309279,1.9746487,0.02984056,0.9522777,0.10381131526752552,0.0,5.896894888460695e-08,1.3062406085985274e-08
42980,Endothelial,T-Cells,H2-K1,Cd8b1,1.992583,0.0,3.939451,1.7567585,1.970022,0.04790259,0.95299673,0.1068125699908549,0.0,5.896894888460695e-08,1.3324750539268808e-08
346,Aerocytes,Adventitial fibroblast,Fn1,Sdc2,2.219292,0.0,2.5879028,3.4509559,2.9559486,0.15337092,0.9426378,0.0663210849502579,0.0,5.896894888460695e-08,1.3526626996287567e-08
13012,Dendritic cells pDC,Classical monocytes,Lgals1,Ptprc,1.9838796,0.0,3.262026,1.6101122,1.4767995,0.023504738,0.9485853,0.0903147085742702,0.0,5.896894888460695e-08,1.4595521894929772e-08
6687,Alveolar macrophages,Alveolar macrophages,Psap,Sort1,2.16958,0.0,2.478216,1.8080395,2.1038804,0.03021499,0.9414557,0.0652690238471107,0.0,5.896894888460695e-08,1.4950676497073283e-08
2394,Lymphatic endothelial,Adventitial fibroblast,Gpc3,Cd81,1.9614387,0.0,3.7749271,2.15166,2.516391,0.10985735,0.95203197,0.10570315499443009,0.0,5.896894888460695e-08,1.801234465387911e-08
5433,Neutrophils,Aerocytes,Hp,Itgb2,1.9512087,0.0,3.6137142,1.9373535,1.7558033,0.05988421,0.9510255,0.1006215910928418,0.0,5.896894888460695e-08,2.0135361381736134e-08
27941,Lymphatic endothelial,Epithelial,App,Ager,1.9362339,0.0,3.475816,1.6326749,2.895779,0.07728705,0.9501115,0.0827483401730188,0.0,5.896894888460695e-08,2.3946527471713668e-08
31985,T-Cells,Interstitial Macrophage,Mif,Cd74_Cxcr4,1.9356701,0.0,3.2591553,0.8824885,1.3635474,0.011757172,0.9485639,0.08545312902451459,0.0,2.5399238631064186e-07,2.4076870091273477e-08
23493,Endothelial,Endothelial,Gnai2,Cav1,1.9318073,0.0,3.7312963,1.4318321,1.8026212,0.031034848,0.9517658,0.10213316517699475,0.0,5.896894888460695e-08,2.5002531690028487e-08
22302,Aerocytes,Endothelial,Pf4,Thbd,1.9297615,0.0,3.5307174,2.736683,2.6036022,0.1928007,0.9504816,0.0979850147534451,0.0,2.308186366864319e-08,2.595161273711351e-08
