,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
2877,Neutrophils,AT1,S100a8,Ager,4.6023264,0.0,20.681894,5.1491365,5.764696,0.2793684,0.9876689,0.4297675381237393,0.0,8.67355053930132e-09,1.986756271783081e-16
2878,Neutrophils,AT1,S100a9,Ager,4.428194,0.0,19.325207,5.2431135,5.6788454,0.31658196,0.9872488,0.4149588578097969,0.0,3.6746350411363202e-09,1.589402257028372e-15
8313,Neutrophils,Aerocytes,S100a8,Cd36,3.4941158,0.0,8.91471,3.6737852,4.265427,0.13385768,0.9813383,0.24866355171198248,0.0,5.6072144741640847e-08,5.3642233011271935e-15
8314,Neutrophils,Aerocytes,S100a9,Cd36,3.3199835,0.0,8.329925,3.7677624,4.1795764,0.15168832,0.9807068,0.23749619239484757,0.0,5.6072144741640847e-08,1.2715173889857481e-14
15114,Neutrophils,Alveolar macrophages,S100a8,Itgb2,3.0307734,0.0,3.9948559,3.0148065,3.7372303,0.07782476,0.97237706,0.128992902789707,0.0,5.6072144741640847e-08,2.7463821608511163e-12
15115,Neutrophils,Alveolar macrophages,S100a9,Itgb2,2.856641,0.0,3.7328022,3.1087837,3.6513798,0.08819149,0.9714511,0.12232489750181294,0.0,5.6072144741640847e-08,3.491771208420674e-12
19747,Aerocytes,Dendritic cells,App,Cd74,2.6536338,0.0,5.4483585,1.7773745,1.7157524,0.024300156,0.9762527,0.16775568527864346,0.0,5.6072144741640847e-08,4.4987101248137134e-11
647,Aerocytes,AT1,App,Ager,2.6434455,0.0,5.4200077,3.6689692,3.1063807,0.10427917,0.9761921,0.16855321973864587,0.0,5.6072144741640847e-08,5.172446162403463e-11
15198,Neutrophils,Alveolar macrophages,S100a8,Cd68,2.933433,0.0,2.9612775,3.0085857,3.6945372,0.10436732,0.968059,0.08667061894467298,0.0,5.6072144741640847e-08,8.380550819360223e-11
15199,Neutrophils,Alveolar macrophages,S100a9,Cd68,2.7593007,0.0,2.767024,3.102563,3.6086867,0.11826969,0.9669932,0.08198444636725957,0.0,5.6072144741640847e-08,1.4003875227034764e-10
1229,Alveolar macrophages,AT1,S100a1,Ager,2.3940532,0.0,3.4769623,3.2867754,2.993095,0.11579229,0.97044986,0.10775810830930015,0.0,5.6072144741640847e-08,2.0825891674599354e-10
37228,AT2,Non-classical monocytes,Lyz2,Itgal,2.3756332,0.0,2.7521908,1.1158886,1.3749536,0.031850472,0.9669073,0.08052910605684527,0.0,5.6072144741640847e-08,2.2038680108738947e-10
6955,Alveolar fibroblasts,Aerocytes,C3,Nrp1,2.292793,0.0,5.1042876,5.9500494,3.0833592,0.21490106,0.97548467,0.1539191714755898,0.0,3.647989777360311e-08,2.5957639654032716e-10
9854,Alveolar fibroblasts,Alveolar fibroblasts,C3,Cd81,2.098238,0.0,4.0601306,5.3120127,2.7446327,0.12420262,0.9725939,0.13298918388624148,0.0,5.6072144741640847e-08,9.64048224568409e-10
21601,T-cells,Dendritic cells,Mif,Cd74_Cxcr4,2.1838834,0.0,1.7693307,1.0771528,1.2336004,0.016433164,0.95906186,0.06050760615462595,0.0,5.778846202402017e-08,1.3197056341485413e-09
5678,NK cells,AT2,Ccl5,Sdc4,2.055359,0.0,2.4513514,2.5754967,2.7609057,0.10092548,0.96500444,0.08334193311129558,0.0,5.6072144741640847e-08,1.837947724497027e-09
6204,Transitioning epithelial,AT2,Scgb1a1,Lrp2,2.6831045,0.0,1.6786056,2.1693838,3.1180167,0.053136695,0.9580159,0.052792041553024305,0.0,5.6072144741640847e-08,3.6125525799396756e-09
36551,NK cells,Neutrophils,Ccl5,Ccr1,1.941614,0.0,1.6808544,3.1637607,2.6793356,0.23415658,0.95804286,0.058308167207439275,0.0,5.6072144741640847e-08,4.71156184093925e-09
11570,NK cells,Alveolar fibroblasts,Ccl5,Dpp4,1.9369348,0.0,1.6491581,3.1357055,2.6359076,0.16008264,0.9576585,0.05019504632663286,0.0,5.6072144741640847e-08,4.807371146634353e-09
6412,AT1,Aerocytes,Timp3,Kdr,1.9122787,0.0,3.6444998,6.847836,2.7755015,0.19966826,0.97111726,0.11805064043739699,0.0,5.3937411420169235e-08,5.305938655382107e-09
2766,NK cells,AT1,Ccl5,Sdc1,1.9110255,0.0,1.4736503,2.5509925,2.5356932,0.15926488,0.95531756,0.04999131354297523,0.0,5.6072144741640847e-08,5.3576105074263074e-09
