,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
42995,Neutrophils,Epithelial,S100a8,Ager,3.4913747,0.0,10.559115,5.8891077,5.3811245,0.3160211,0.98714423,0.26873232070973785,0.0,6.163427547174878e-13,1.3649432746298094e-17
42996,Neutrophils,Epithelial,S100a9,Ager,3.2868528,0.0,9.653316,6.863489,5.331785,0.36624762,0.98656255,0.25093236764537175,0.0,1.6157257061163467e-13,1.0919538429838761e-16
12026,Neutrophils,Aerocytes,S100a8,Cd36,3.163526,0.0,7.4325423,4.5068364,4.133251,0.16081385,0.98471475,0.21887268654949138,0.0,8.866502614766898e-11,3.685341598640678e-16
12027,Neutrophils,Aerocytes,S100a9,Cd36,2.9590042,0.0,6.7949514,5.4812183,4.0839114,0.18637264,0.9840249,0.20345642641527031,0.0,2.875349688608401e-11,1.706174238787441e-15
34959,Neutrophils,Dendritic cells pDC,S100a8,Cd68,2.720793,0.0,3.2103589,3.897192,3.4418967,0.10664587,0.9769264,0.10711455118554365,0.0,2.4482991073541535e-09,2.770977267109285e-13
19177,Aerocytes,B-cells,App,Cd74,2.4721725,0.0,4.5031414,1.2573035,1.4878969,0.0123908715,0.9804477,0.14234727166059616,0.0,1.7986902231586957e-08,5.889303872070617e-13
17897,Neutrophils,Alveolar macrophages,S100a8,Itgb2,2.6986697,0.0,2.999378,3.9653344,3.5175624,0.08802183,0.97614765,0.0978633993538733,0.0,8.095023921728572e-09,6.926385334136334e-13
34960,Neutrophils,Dendritic cells pDC,S100a9,Cd68,2.516271,0.0,2.9349625,4.871574,3.3925571,0.12359551,0.9758936,0.09857656912067068,0.0,8.563710343410853e-10,1.3959715304811498e-12
17898,Neutrophils,Alveolar macrophages,S100a9,Itgb2,2.4941478,0.0,2.7420802,4.939716,3.4682229,0.10201149,0.9750809,0.08998849837099869,0.0,3.358230124635479e-09,3.0083177344169756e-12
16596,Interstitial macrophages,Alveolar macrophages,Spp1,Cd44,2.1295676,0.0,4.050122,1.6019847,2.4682772,0.05303574,0.9794051,0.1327716277071477,0.0,1.7986902231586957e-08,2.4652428728933634e-11
21069,Aerocytes,CD4 T-cells,B2m,Cd3g,1.9919021,0.0,3.1892078,1.6167462,1.1610732,0.022951469,0.97685176,0.10538468423057236,0.0,1.7986902231586957e-08,5.7735322474027767e-11
19400,CD4 T-cells,B-cells,Mif,Cd74_Cxcr4,2.1390116,0.0,2.010807,1.0782577,1.3102587,0.009459763,0.9710216,0.06419128699419228,0.0,1.7986902231586957e-08,6.587533175893509e-11
73217,Interstitial macrophages,SMCs,Spp1,Itgav_Itgb1,1.9749317,0.0,3.1761372,1.0608044,2.061606,0.026825257,0.97680527,0.1095959606881311,0.0,1.7986902231586957e-08,7.299727142240398e-11
73218,Interstitial macrophages,SMCs,Spp1,Itga5_Itgb1,1.9749317,0.0,3.1761372,1.0608044,2.061606,0.026825257,0.97680527,0.1095959606881311,0.0,1.7986902231586957e-08,7.299727142240398e-11
73219,Interstitial macrophages,SMCs,Spp1,Itga4_Itgb1,1.9749317,0.0,3.1761372,1.0608044,2.061606,0.026825257,0.97680527,0.1095959606881311,0.0,1.7986902231586957e-08,7.299727142240398e-11
73220,Interstitial macrophages,SMCs,Spp1,Itga8_Itgb1,1.9749317,0.0,3.1761372,1.0608044,2.061606,0.026825257,0.97680527,0.1095959606881311,0.0,1.7986902231586957e-08,7.299727142240398e-11
73622,Lymphatic endothelial,SMCs,C3,Cd81,1.9648703,0.0,3.8599758,2.568822,2.3474674,0.051089663,0.97891456,0.12674805321666402,0.0,1.7986902231586957e-08,8.386567703149962e-11
8671,Adventitial fibroblasts,Aerocytes,Col1a2,Cd36,1.9517286,0.0,3.6548004,2.0469658,2.1479406,0.062063772,0.97834337,0.11992712266336615,0.0,1.7986902231586957e-08,1.0097109924684466e-10
21067,Aerocytes,CD4 T-cells,B2m,Cd3d,1.9508973,0.0,2.9534953,1.5703347,1.0905068,0.021871563,0.9759675,0.10138241854275555,0.0,1.7986902231586957e-08,1.0403048031521481e-10
14272,Adventitial fibroblasts,Alveolar macrophages,Col1a2,Cd44,1.888958,0.0,3.3604414,2.1644173,2.118094,0.053860877,0.9774357,0.10736262988882227,0.0,1.7986902231586957e-08,2.0438673535693762e-10
16669,Interstitial macrophages,Alveolar macrophages,Lyz2,Itgal,2.3106015,0.0,1.875478,1.3643615,1.6765072,0.029925715,0.97002506,0.0544493764892288,0.0,1.7986902231586957e-08,2.398582327961092e-10
8713,Adventitial fibroblasts,Aerocytes,Sparc,Eng,1.833694,0.0,2.3638606,1.9105155,1.7369243,0.044143185,0.9732128,0.0785516922152462,0.0,1.7986902231586957e-08,2.8302821890878017e-10
21077,Aerocytes,CD4 T-cells,App,Rpsa,1.8210702,0.0,2.9354072,1.2066586,1.126643,0.0082807345,0.9758954,0.09534976565921112,0.0,1.7986902231586957e-08,3.046308164530022e-10
43969,Transitioning epithelial,Epithelial,S100a1,Ager,1.7815663,0.0,2.9866054,3.3806915,2.8033502,0.09149704,0.97609794,0.09471125187444389,0.0,6.665915065241106e-09,3.373578815187553e-10
8670,Adventitial fibroblasts,Aerocytes,Col1a1,Cd36,1.7698197,0.0,3.0877051,2.0500114,2.0892348,0.067786284,0.9764832,0.10214882914352938,0.0,1.7986902231586957e-08,3.580758303216931e-10
71508,Adventitial fibroblasts,SMCs,Col3a1,Itga1_Itgb1,1.758291,0.0,2.6891627,1.5576106,1.7267691,0.023930967,0.9748431,0.08950581668266105,0.0,1.7986902231586957e-08,3.796250398125659e-10
10785,Interstitial macrophages,Aerocytes,Spp1,S1pr1,1.7580545,0.0,1.9503728,1.3954768,2.1649356,0.06532206,0.97058916,0.06054564668936793,0.0,1.7986902231586957e-08,3.832985394677264e-10
16657,Interstitial macrophages,Alveolar macrophages,Apoe,Lrp1,1.7437532,0.0,1.7958199,0.8385079,1.611304,0.018132446,0.9693876,0.06365393658951682,0.0,1.7986902231586957e-08,4.135432238033171e-10
71468,Adventitial fibroblasts,SMCs,Col1a2,Itga1_Itgb1,1.7343221,0.0,2.6352844,1.6232369,1.7114229,0.027242608,0.9745937,0.08817124721415542,0.0,1.7986902231586957e-08,4.453383511693887e-10
69492,Interstitial macrophages,Peribronchial fibroblasts,Spp1,Itga9_Itgb1,1.7286494,0.0,1.7841781,0.68475986,1.6929959,0.0150689455,0.969291,0.05920966762227374,0.0,1.7986902231586957e-08,4.555984150494177e-10
73233,Interstitial macrophages,SMCs,Apoe,Sdc2,1.7178626,0.0,1.6477524,1.2238201,1.7922584,0.026597371,0.96808475,0.05369172001110428,0.0,1.7986902231586957e-08,4.873215940285985e-10
39578,Aerocytes,Epithelial,App,Ager,1.7091701,0.0,2.6659722,2.7181535,2.3616476,0.04753466,0.9747367,0.08398352095895524,0.0,1.7986902231586957e-08,5.272921067550235e-10
14268,Adventitial fibroblasts,Alveolar macrophages,Col1a1,Cd44,1.7070491,0.0,2.8390203,2.1674628,2.0593884,0.05882705,0.9754996,0.09125379779451022,0.0,1.7986902231586957e-08,5.457364872012697e-10
32291,AT2,Dendritic cells pDC,Sftpd,Lair1,1.6918125,0.0,2.340848,3.659359,2.6361918,0.22696967,0.9730849,0.08518908187967324,0.0,6.156323843391896e-11,5.646060099364577e-10
11108,Lymphatic endothelial,Aerocytes,C3,Nrp1,1.690731,0.0,2.7975895,2.695437,2.3264732,0.077221535,0.97532326,0.0998658667434686,0.0,1.7986902231586957e-08,5.69390386589398e-10
33325,Dendritic cells,Dendritic cells pDC,H2-Ab1,Lag3,1.6740446,0.0,1.5788246,4.1606746,1.8449502,0.110066816,0.96741796,0.0490295237063368,0.0,1.980953455698383e-09,6.392358067677294e-10
14193,AT2,Alveolar macrophages,Sftpd,Sirpa,1.6401212,0.0,2.0912945,2.794004,2.4805195,0.120358124,0.9715687,0.07839213371283114,0.0,1.7343187629753293e-09,7.777493956727385e-10
33324,Dendritic cells,Dendritic cells pDC,H2-Aa,Lag3,1.635293,0.0,1.5348122,4.1575923,1.7839496,0.10768497,0.96696943,0.04768068818379115,0.0,2.3029203104625706e-09,8.259640125472507e-10
14183,AT2,Alveolar macrophages,Sftpa1,Tlr2,1.870104,0.0,1.4944941,2.6356602,2.7922275,0.14434269,0.96654165,0.048019008315132096,0.0,2.9417797309224263e-09,8.321273209156148e-10
72687,Dendritic cells pDC,SMCs,Lgals1,Itgb1,1.6041117,0.0,2.3425918,1.0216482,0.8439851,0.010057348,0.9730947,0.07613463750749035,0.0,1.7986902231586957e-08,1.045912900704047e-09
35960,Adventitial fibroblasts,Endothelial,Col1a2,Cd93,1.6022193,0.0,2.0157962,2.0755935,2.0586586,0.10990526,0.9710564,0.06249315945080738,0.0,1.5393214517362152e-08,1.0676495209202153e-09
8528,Adventitial fibroblasts,Aerocytes,Col1a2,Itga3_Itgb1,1.5564303,0.0,1.8010714,1.351617,1.4332386,0.01861882,0.9694309,0.06093526121338065,0.0,1.7986902231586957e-08,1.5820815953936585e-09
71461,Adventitial fibroblasts,SMCs,Col1a1,Itga1_Itgb1,1.5524132,0.0,2.2263818,1.6262825,1.6527172,0.029754478,0.9724206,0.07470094286047496,0.0,1.7986902231586957e-08,1.6251348830323498e-09
19094,Adventitial fibroblasts,B-cells,Fn1,Cd79a,1.536634,0.0,2.2156038,2.5561993,1.927634,0.08305912,0.9723554,0.06892736649907791,0.0,1.1800295466537804e-08,1.921455442063811e-09
15086,Alveolar macrophages,Alveolar macrophages,Psap,Lrp1,1.5199854,0.0,1.5147574,1.079787,0.93459094,0.015874224,0.9667587,0.050215936202200655,0.0,1.7986902231586957e-08,2.251764664213943e-09
15016,Alveolar macrophages,Alveolar macrophages,Lpl,Cd44,1.5157417,0.0,2.2906587,1.7541212,1.4192957,0.053556163,0.97279966,0.0762483670631442,0.0,1.7986902231586957e-08,2.3738795003979056e-09
63131,Dendritic cells pDC,NK cells,Lgals1,Ptprc,1.5073063,0.0,1.9390491,0.99812406,0.79067564,0.011499066,0.9705059,0.06290598317807082,0.0,1.7986902231586957e-08,2.57831438155166e-09
20355,Neutrophils,B-cells,S100a8,Cd69,2.6102757,0.0,2.1563976,4.3560767,3.7359974,0.17931879,0.97198904,0.03728425693478349,0.0,4.185587569878277e-11,2.7455331765189314e-09
32674,Aerocytes,Dendritic cells pDC,B2m,Klrd1,1.6518787,0.0,1.2346112,1.227199,0.6859102,0.017405147,0.96331125,0.04051466673657665,0.0,1.7986902231586957e-08,3.4331852601063243e-09
67905,Adventitial fibroblasts,Peribronchial fibroblasts,Col1a2,Itga9_Itgb1,1.4880397,0.0,1.480357,1.2471924,1.3428128,0.015303391,0.9663876,0.04711369203472998,0.0,1.7986902231586957e-08,3.4810822440045792e-09
33326,Dendritic cells,Dendritic cells pDC,H2-Eb1,Lag3,1.473312,0.0,1.3508407,4.1645355,1.7834594,0.12082976,0.9648685,0.0430493221258398,0.0,9.817255347829639e-10,4.253882473731811e-09
16811,Lymphatic endothelial,Alveolar macrophages,Vim,Cd44,1.4648265,0.0,2.144716,1.2585068,0.881479,0.014278617,0.971915,0.0719807202507213,0.0,1.7986902231586957e-08,4.650599190523019e-09
73623,Lymphatic endothelial,SMCs,Gpc3,Cd81,1.4627101,0.0,1.8593044,1.9292357,1.6250478,0.043144405,0.9698989,0.05626966471921385,0.0,1.7986902231586957e-08,4.7288554008361e-09
39247,Adventitial fibroblasts,Epithelial,Col1a2,Sdc1,1.451834,0.0,1.3105726,2.2465565,1.7401781,0.06334643,0.96435195,0.04380822164331558,0.0,1.7986902231586957e-08,5.582166780815853e-09
35958,Adventitial fibroblasts,Endothelial,Col1a1,Cd93,1.4203105,0.0,1.703016,2.078639,1.9999528,0.120038934,0.96859044,0.05271899560107256,0.0,1.514198572084793e-08,7.058312109879538e-09
16808,Lymphatic endothelial,Alveolar macrophages,Timp2,Cd44,1.4121873,0.0,1.993832,1.9611936,1.5543654,0.03393478,0.9709021,0.06697324483454321,0.0,1.7986902231586957e-08,7.530955426960123e-09
45651,Interstitial macrophages,Interstitial macrophages,Apoe,Trem2,1.7126243,0.0,1.6177946,0.7831112,1.9431539,0.035576597,0.9678001,0.030707618668333363,0.0,1.7986902231586957e-08,8.143123082142444e-09
15879,Dendritic cells Ccr7-hi,Alveolar macrophages,Rps19,C5ar1,1.7076404,0.0,1.056127,1.0772474,0.8163577,0.014253342,0.9604499,0.03265880621436952,0.0,1.7986902231586957e-08,9.412740563830419e-09
8520,Adventitial fibroblasts,Aerocytes,Col1a1,Itga3_Itgb1,1.3745215,0.0,1.5216091,1.3546625,1.3745329,0.020335544,0.96683115,0.05139140167991897,0.0,1.7986902231586957e-08,1.016333597590873e-08
10747,Interstitial macrophages,Aerocytes,Apoe,Scarb1,1.6153258,0.0,1.0613474,0.88395005,1.6020093,0.023427427,0.96054345,0.02942461444177659,0.0,1.7986902231586957e-08,1.0347075114045777e-08
15183,Alveolar macrophages,Alveolar macrophages,Psap,Sort1,1.4181694,0.0,1.0236074,1.3232425,0.95925623,0.026885875,0.95985156,0.030197165296450234,0.0,1.7986902231586957e-08,1.1548687836540748e-08
21390,CD4 T-cells,CD4 T-cells,H2-K1,Cd3g,1.3598244,0.0,1.7865077,1.6123506,1.0704503,0.025102992,0.9693104,0.06112326930849606,0.0,1.7986902231586957e-08,1.1548687836540748e-08
77151,Adventitial fibroblasts,Transitioning epithelial,Col3a1,Ddr1,1.4036858,0.0,0.99226385,2.695622,1.6563439,0.07230538,0.95924807,0.033082922949207526,0.0,1.7986902231586957e-08,1.443601808692713e-08
12256,Peribronchial fibroblasts,Aerocytes,Thbs1,Cd36,1.3335047,0.0,1.7275059,1.8861861,1.5390191,0.058977768,0.9688069,0.06105903504641539,0.0,1.7986902231586957e-08,1.4602225683666736e-08
14428,Adventitial fibroblasts,Alveolar macrophages,Bgn,Tlr2,1.3270962,0.0,1.0004628,1.7044982,1.411486,0.06440745,0.9594086,0.029710544088621758,0.0,1.7986902231586957e-08,1.562632219126483e-08
21388,CD4 T-cells,CD4 T-cells,H2-K1,Cd3d,1.3188198,0.0,1.6544679,1.5659391,0.9998839,0.023921855,0.9681475,0.05869167015814034,0.0,1.7986902231586957e-08,1.674285352183618e-08
67901,Adventitial fibroblasts,Peribronchial fibroblasts,Col1a1,Itga9_Itgb1,1.3061309,0.0,1.2506582,1.250238,1.2841071,0.01671442,0.9635388,0.03964321989620167,0.0,1.7986902231586957e-08,1.8393527328461573e-08
17162,Myofibroblasts,Alveolar macrophages,Timp3,Cd44,1.3060603,0.0,1.6896307,1.6867399,1.5287423,0.030364035,0.96847016,0.05502074248663448,0.0,1.7986902231586957e-08,1.844221758561995e-08
14270,Adventitial fibroblasts,Alveolar macrophages,Fn1,Cd44,1.2940997,0.0,1.6553469,1.4130706,1.2806492,0.028667325,0.9681557,0.05139655541932568,0.0,1.7986902231586957e-08,2.0723257541058338e-08
9713,Classical monocytes,Aerocytes,Lgals3,Eng,1.2882738,0.0,1.4536549,1.5179763,0.9180343,0.037107617,0.96609074,0.0516376610011721,0.0,1.7986902231586957e-08,2.2233322674248362e-08
16912,Lymphatic endothelial,Alveolar macrophages,C3,Lrp1,1.2828491,0.0,1.2169036,2.0470896,1.6826223,0.050724376,0.96305513,0.043395817885349,0.0,1.7986902231586957e-08,2.3412774972701148e-08
39244,Adventitial fibroblasts,Epithelial,Col1a1,Sdc1,1.2699251,0.0,1.1072183,2.249602,1.6814724,0.0691872,0.96133745,0.036841609365174,0.0,1.7986902231586957e-08,2.732627854802901e-08
3592,Adventitial fibroblasts,Adventitial fibroblasts,Sparc,Fgfr1,1.5705688,0.0,0.8730035,1.4270157,1.3536183,0.03222379,0.9566704,0.026060544847714535,0.0,1.7986902231586957e-08,2.9804297451023345e-08
73414,Lymphatic endothelial,SMCs,Timp2,Itgb1,1.2575514,0.0,1.5635786,1.4200132,1.1476942,0.01716407,0.9672647,0.054560294444099204,0.0,1.7986902231586957e-08,3.095971415513077e-08
16882,Lymphatic endothelial,Alveolar macrophages,C3,Itgax,1.2368116,0.0,1.0384926,2.2824593,1.7542635,0.122009486,0.96012884,0.03710890398972652,0.0,7.3766814072872865e-09,4.022050019524527e-08
33093,CD4 T-cells,Dendritic cells pDC,H2-K1,Cd8b1,1.2228565,0.0,1.345456,1.6359817,0.99664384,0.028155187,0.9648007,0.043083766217633185,0.0,1.7986902231586957e-08,4.6503698530207606e-08
11110,Lymphatic endothelial,Aerocytes,C4b,Nrp1,1.2227743,0.0,1.4463304,2.1530578,1.7039104,0.060732167,0.9660079,0.04654179105254903,0.0,1.7986902231586957e-08,4.659402310709046e-08
14413,Adventitial fibroblasts,Alveolar macrophages,Serping1,Lrp1,1.2201557,0.0,1.1381581,1.4859571,1.2666452,0.03384508,0.9618464,0.0398153914293827,0.0,1.7986902231586957e-08,4.796295494940319e-08
3180,AT1,Adventitial fibroblasts,Timp1,Cd63,1.2034209,0.0,1.2699351,1.1646292,1.2741268,0.02649864,0.9638065,0.024479711066550183,0.0,1.7986902231586957e-08,5.592232325366394e-08
19972,Lymphatic endothelial,B-cells,Copa,Cd74,1.9749411,0.0,0.7834166,0.9914443,1.2212343,0.008677803,0.95436996,0.02518003165998908,0.0,1.7986902231586957e-08,5.602445669062938e-08
14426,Adventitial fibroblasts,Alveolar macrophages,Dcn,Tlr2,1.2001626,0.0,0.884978,1.8304863,1.8536941,0.081728555,0.95695186,0.026463389894819906,0.0,1.7986902231586957e-08,5.7779793967183435e-08
77149,Adventitial fibroblasts,Transitioning epithelial,Col1a1,Ddr1,1.197808,0.0,0.82150406,2.7642937,1.5822921,0.08990063,0.95539254,0.027330637340558017,0.0,7.223045597521283e-09,5.9040672896043306e-08
74390,Peribronchial fibroblasts,SMCs,Lum,Itgb1,1.1972904,0.0,1.4281214,2.4051661,1.5113226,0.06829926,0.9657993,0.04949005931193194,0.0,1.7986902231586957e-08,5.9252585707254344e-08
41651,Interstitial macrophages,Epithelial,Apoe,Lsr,1.5648532,0.0,0.77269626,1.0206363,1.5527381,0.022886667,0.954069,0.022919603488809694,0.0,1.7986902231586957e-08,6.053471539492538e-08
11502,Myofibroblasts,Aerocytes,Timp3,Kdr,1.1748469,0.0,1.3802484,2.6279123,1.6922734,0.078001626,0.96523166,0.047512303989429475,0.0,1.7986902231586957e-08,6.908651611398052e-08
48925,CD4 T-cells,Lymphatic endothelial,H2-K1,Aplp2,1.1713325,0.0,1.1795431,0.65703654,0.41931668,0.0053311097,0.9624964,0.04093954319748657,0.0,1.0885616562211502e-07,7.074478326401052e-08
36105,Aerocytes,Endothelial,Gnai2,Cav1,1.1689293,0.0,1.3663957,1.3887017,1.2161384,0.018007422,0.965062,0.04970349697901126,0.0,1.7986902231586957e-08,7.146351251074262e-08
33202,Classical monocytes,Dendritic cells pDC,Lgals3,Lag3,1.1550097,0.0,0.9893259,3.826575,0.81040573,0.08391232,0.95919013,0.03029076306804135,0.0,1.7986902231586957e-08,7.892021386274982e-08
18293,SMCs,Alveolar macrophages,Col4a1,Cd44,1.1502099,0.0,1.242903,1.6669825,1.307494,0.03241252,0.9634294,0.037506838479017375,0.0,1.7986902231586957e-08,8.376732464466741e-08
35091,Peribronchial fibroblasts,Dendritic cells pDC,Thbs1,Cd47,1.1487445,0.0,1.317976,1.4738793,1.0485517,0.02113181,0.96444863,0.04652856341443826,0.0,1.7986902231586957e-08,8.457156248931611e-08
14704,Aerocytes,Alveolar macrophages,Icam2,Itgal_Itgb2,1.1412252,0.0,1.0400432,2.1959505,1.3742421,0.063207515,0.9601574,0.036643755841782005,0.0,1.7986902231586957e-08,8.867001099589316e-08
