,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
29350,NA,Epithelial,S100a8,Ager,2.8958912,0.0,7.319226,1.9624946,4.653514,0.2228678,0.9778415,0.19386861620155604,0.0,3.803147297618689e-08,1.1194873012198374e-16
29351,NA,Epithelial,S100a9,Ager,2.6718686,0.0,6.4845386,1.9866874,4.561882,0.2675761,0.97649103,0.1759701935330619,0.0,3.803147297618689e-08,3.0226070415168164e-15
25663,NA,Endothelial,S100a8,Cd36,2.680193,0.0,5.624344,1.7001169,3.4631104,0.09956428,0.97480094,0.18836625491511919,0.0,3.803147297618689e-08,1.2734697539327977e-14
9768,Aerocytes,B-cells,Fn1,Cd79a,2.4751449,0.0,5.8460946,4.3851233,3.4951992,0.45017946,0.9752715,0.17288129666515986,0.0,3.5204437974852625e-11,1.0187687220560305e-13
5538,NA,Aerocytes,S100a8,Itgb2,2.4624023,0.0,3.91302,2.0148284,3.1998675,0.07762347,0.96993977,0.1418212867479648,0.0,3.803147297618689e-08,1.7604274572632686e-13
25664,NA,Endothelial,S100a9,Cd36,2.4561703,0.0,4.9829416,1.7243097,3.371479,0.11953732,0.97327024,0.17086814944111706,0.0,3.803147297618689e-08,2.2382255480639872e-13
17033,Lymphatic endothelial,Dendritic cells,App,Cd74,2.6076932,0.0,3.9360816,1.5173025,1.6661599,0.02249136,0.9700253,0.12120695107652622,0.0,3.803147297618689e-08,3.0718158694324123e-13
6602,Aerocytes,Alveolar macrophages,Fn1,Cd44,2.3736672,0.0,5.2363095,4.483734,3.1605031,0.14548089,0.9739078,0.15651297797100489,0.0,3.803147297618689e-08,1.0847668393776142e-12
5539,NA,Aerocytes,S100a9,Itgb2,2.2383797,0.0,3.4667778,2.0390213,3.108236,0.093195096,0.96812344,0.12796523331272391,0.0,3.803147297618689e-08,9.915790976607137e-12
32891,NA,Interstitial macrophages,S100a8,Cd68,2.2811174,0.0,2.488545,1.822056,3.068772,0.06803883,0.9625913,0.08089072463028497,0.0,3.803147297618689e-08,1.9658437084454816e-11
32892,NA,Interstitial macrophages,S100a9,Cd68,2.0570948,0.0,2.2047503,1.8462489,2.9771407,0.08168773,0.9603491,0.07248482738663278,0.0,3.803147297618689e-08,1.2831803497662172e-10
