,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
43023,Neutrophils,Epithelial,S100a8,Ager,3.6995873,0.0,11.11588,3.3031223,4.7141066,0.17254078,0.98648494,0.25130246349317525,0.0,3.139704263304103e-11,1.1892567001668755e-17
11514,Neutrophils,Aerocytes,S100a8,Cd36,3.4570904,0.0,8.543936,2.725193,3.4119976,0.09198085,0.98461366,0.24308001684798006,0.0,3.303408776540507e-09,2.9726392544467015e-16
43024,Neutrophils,Epithelial,S100a9,Ager,3.4834456,0.0,10.209757,3.3129938,4.867256,0.18644658,0.98590624,0.23988857484187873,0.0,1.8282593326984898e-11,3.210988727473818e-16
11515,Neutrophils,Aerocytes,S100a9,Cd36,3.2409487,0.0,7.847467,2.7350645,3.5651476,0.09939398,0.9839561,0.23192389791499446,0.0,1.9471621893167556e-09,1.3762200545608256e-15
19336,Neutrophils,Alveolar macrophages,S100a8,Itgb2,2.99335,0.0,3.6254678,2.4625685,3.0108423,0.06097439,0.97657263,0.11976912126467637,0.0,2.312477785879692e-08,1.0196031120054709e-13
19337,Neutrophils,Alveolar macrophages,S100a9,Itgb2,2.7772083,0.0,3.3299336,2.47244,3.1639924,0.06588857,0.97558,0.11342428647005408,0.0,2.312477785879692e-08,4.720341019630146e-13
19423,Neutrophils,Alveolar macrophages,S100a8,Cd68,2.9013948,0.0,2.6501827,2.413962,2.943656,0.059744895,0.9727074,0.08119861255683565,0.0,2.312477785879692e-08,5.850743656905405e-12
27537,Aerocytes,Dendritic cells,App,Cd74,2.5527437,0.0,5.1254153,1.5956712,1.8870246,0.014083468,0.98022306,0.15877503450931027,0.0,2.312477785879692e-08,6.294912761560091e-12
47429,Neutrophils,Interstitial macrophages,S100a9,Cd68,2.6938634,0.0,2.5180278,2.4506743,3.1353111,0.06678464,0.97202015,0.07597643906947844,0.0,2.312477785879692e-08,1.2619621256394946e-11
66196,AT2,Non-classical monocytes,Lyz2,Itgal,2.4116225,0.0,2.6240792,1.6396734,1.7665384,0.026975531,0.9725757,0.07654124011073318,0.0,2.312477785879692e-08,1.2744330017666437e-11
73965,Lymphatic endothelial,SMCs,C3,Cd81,2.0843077,0.0,4.34431,2.7987237,2.2683764,0.041469406,0.9785551,0.13634911701286798,0.0,2.312477785879692e-08,4.099489959295179e-11
22002,Aerocytes,CD4 T-cells,App,Rpsa,1.9090842,0.0,3.357539,1.3948317,1.2595563,0.008193951,0.97567815,0.10681733737546535,0.0,2.312477785879692e-08,1.6588195040377814e-10
20744,CD4 T-cells,B-cells,Mif,Cd74_Cxcr4,2.0751476,0.0,1.7978771,1.1266155,1.5075191,0.009639642,0.96705633,0.05819877379348324,0.0,2.312477785879692e-08,1.9571574654532439e-10
10855,Lymphatic endothelial,Aerocytes,C3,Nrp1,1.8836939,0.0,3.5101826,3.266644,2.463493,0.07351868,0.97620016,0.11571593228121031,0.0,1.3261867411030044e-08,2.2396942575631186e-10
64116,B-cells,Neutrophils,Rps19,C5ar1,1.8702621,0.0,2.0763671,1.5118244,1.1491305,0.017810922,0.96927476,0.06005001208856387,0.0,2.312477785879692e-08,2.4424037279202157e-10
22659,Endothelial,CD4 T-cells,B2m,Cd3g,1.782659,0.0,2.4799411,1.580833,1.2915885,0.022792168,0.9718121,0.07607692650600456,0.0,2.312477785879692e-08,3.6069258327548125e-10
22657,Endothelial,CD4 T-cells,B2m,Cd3d,1.764592,0.0,2.3853393,1.5873971,1.2419571,0.022489542,0.9712745,0.07409748651771779,0.0,2.312477785879692e-08,3.9557261717002735e-10
34070,Dendritic cells,Dendritic cells pDC,H2-Ab1,Lag3,1.7466366,0.0,1.6861318,3.8384986,1.9880528,0.09857553,0.9660187,0.054745676550510526,0.0,2.0555814976446132e-09,4.6389207754684995e-10
40037,Aerocytes,Epithelial,App,Ager,1.7347169,0.0,2.8786213,2.2084222,2.6725276,0.044197742,0.97378373,0.07713863511428964,0.0,2.312477785879692e-08,5.352453800900087e-10
71987,AT1,SMCs,Gpc3,Cd81,1.7252192,0.0,2.8435524,2.012703,2.1553998,0.031702735,0.97362685,0.08328736445863263,0.0,2.312477785879692e-08,5.897866433882129e-10
17193,Classical monocytes,Alveolar macrophages,Vim,Cd44,1.7184057,0.0,2.9171689,1.7087548,1.5068976,0.016180897,0.973953,0.09619011421812537,0.0,2.312477785879692e-08,6.232503658560474e-10
73642,Interstitial macrophages,SMCs,Apoe,Sdc2,1.716825,0.0,1.876203,1.6081498,2.0387225,0.027417783,0.96772885,0.05880491650509874,0.0,2.312477785879692e-08,6.281317843922481e-10
