,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
43023,Neutrophils,Epithelial,S100a8,Ager,157.10245,0.0,12839.959,2.2360582,,0.335299,0.99866194,1.1553717125561132e-05,0.0,,2.378106679642979e-15
11514,Neutrophils,Aerocytes,S100a8,Cd36,136.20956,0.0,1728.3041,1.8638437,,0.12106099,0.99636126,3.971620375241179e-06,0.0,,8.026094100584015e-15
19336,Neutrophils,Alveolar macrophages,S100a8,Itgb2,134.08708,0.0,599.48224,1.7440977,,0.08946084,0.9938373,1.4442292411342435e-06,0.0,,1.172306095226387e-13
19423,Neutrophils,Alveolar macrophages,S100a8,Cd68,133.80373,0.0,448.78198,1.6251628,,0.081859276,0.9928842,7.221151420170236e-07,0.0,,5.576655790715687e-13
43024,Neutrophils,Epithelial,S100a9,Ager,118.56674,0.0,9118.561,2.4026625,,0.37916574,0.9984126,8.250991222827558e-06,0.0,,3.3111926394599476e-12
54024,Transitioning epithelial,Lymphatic endothelial,Scgb1a1,Lrp2,1053.4219,0.0,1658.36,2.7831478,,0.34639508,0.9962856,3.3058421948775904e-07,0.0,,4.346832751775681e-12
11515,Neutrophils,Aerocytes,S100a9,Cd36,97.673874,0.0,1227.3906,2.030448,,0.13689925,0.99568504,2.8362935905627214e-06,0.0,,1.9502964107560246e-11
19337,Neutrophils,Alveolar macrophages,S100a9,Itgb2,95.55139,0.0,425.73462,1.910702,,0.1011649,0.9926955,1.0313813490320955e-06,0.0,,2.098981946903665e-11
19424,Neutrophils,Alveolar macrophages,S100a9,Cd68,95.26803,0.0,318.71173,1.7917671,,0.09256882,0.9915673,5.156909404530567e-07,0.0,,2.3632591102960344e-11
67814,Epithelial,Non-classical monocytes,Lyz2,Itgal,69.641525,0.0,206.67429,1.6310344,,0.04872997,0.9895495,3.1148627010731083e-07,0.0,,5.899879297375681e-11
21423,Neutrophils,B-cells,S100a8,Cd69,133.21027,0.0,133.15263,1.256917,,0.087293334,0.9870136,1.8052888327623604e-07,0.0,,6.970136607522532e-11
18075,Epithelial,Alveolar macrophages,Sftpa1,Tlr2,70.96436,0.0,132.5506,2.0840864,,0.16128314,0.98698455,2.674638755363818e-07,0.0,,7.083773228524272e-11
28812,Lymphatic endothelial,Dendritic cells,App,Cd74,57.725403,0.0,575.88275,2.0778615,,0.033211052,0.9937131,7.892584795338251e-07,0.0,,1.6387544431542394e-10
31895,Lymphatic endothelial,Dendritic cells Ccr7-hi,Mif,Cd74_Cxcr4,51.852657,0.0,167.76009,1.2488176,,0.020578554,0.9884139,2.0993880788158294e-07,0.0,,2.94243503043463e-10
51438,Interstitial macrophages,Lymphatic endothelial,Apoe,Lrp1,28.48072,0.0,109.60576,2.0061634,,0.051148437,0.9857054,1.2855284876874196e-07,0.0,,1.1500231038884593e-09
73642,Interstitial macrophages,SMCs,Apoe,Sdc2,28.153042,0.0,73.58251,1.9681009,,0.064272135,0.9826086,1.0284228165912723e-07,0.0,,1.1721360036769076e-09
51533,Interstitial macrophages,Lymphatic endothelial,Apoe,Lsr,28.073534,0.0,64.84178,2.5325136,,0.08623596,0.9814945,1.0284228165912723e-07,0.0,,1.1870342879475052e-09
79594,Interstitial macrophages,Transitioning epithelial,Apoe,Sorl1,27.94465,0.0,50.67315,2.086827,,0.06500762,0.9791173,7.713171322744576e-08,0.0,,1.2248310759740078e-09
28526,Epithelial,Dendritic cells,Copa,Cd74,55.326767,0.0,47.09734,1.1684005,,0.013136366,0.9783558,4.642700387178405e-08,0.0,,1.7350646283181166e-09
43941,Transitioning epithelial,Epithelial,S100a1,Ager,27.130041,0.0,288.5034,2.7555509,,0.18254901,0.9911406,2.4859713381947014e-07,0.0,,2.125184204799802e-09
42130,Lymphatic endothelial,Epithelial,App,Ager,26.754816,0.0,252.26787,2.4095588,,0.104835585,0.99053156,2.0124530833557238e-07,0.0,,2.169605970920528e-09
18559,Lymphatic endothelial,Alveolar macrophages,Dcn,Tlr2,23.029951,0.0,42.419395,2.776526,,0.14935668,0.9772201,7.588317839584502e-08,0.0,,3.790807514816868e-09
67813,Epithelial,Non-classical monocytes,Lyz1,Itgal,22.294724,0.0,64.63409,1.7413869,,0.09343226,0.98146534,5.2530952267348473e-08,0.0,,4.44119724352304e-09
34070,Dendritic cells,Dendritic cells pDC,H2-Ab1,Lag3,20.567307,0.0,71.48442,5.85243,,0.19034451,0.98235965,8.508534245185994e-08,0.0,,6.0008182683379864e-09
64738,Epithelial,Neutrophils,Rps19,C5ar1,20.31519,0.0,49.78663,1.4434866,,0.023806516,0.9789361,1.1542011321606256e-07,0.0,,6.022876088029864e-09
14538,Lymphatic endothelial,Alveolar fibroblasts,C3,Cd81,18.822622,0.0,284.80124,3.843064,,0.11311782,0.99108374,6.658849020077712e-07,0.0,,6.383186971831732e-09
34069,Dendritic cells,Dendritic cells pDC,H2-Aa,Lag3,17.341568,0.0,59.754463,5.786885,,0.16350806,0.9807376,7.121273325739795e-08,0.0,,6.974478055639998e-09
10855,Lymphatic endothelial,Aerocytes,C3,Nrp1,17.029278,0.0,187.3915,4.6928625,,0.22952761,0.9890308,4.3282528717918955e-07,0.0,,7.023298057530914e-09
25830,Lymphatic endothelial,Classical monocytes,Lgals1,Ptprc,15.232472,0.0,77.31967,2.2864118,,0.034578573,0.9830269,6.49238169624477e-08,0.0,,1.0010871823045338e-08
73787,Lymphatic endothelial,SMCs,Lgals1,Itgb1,14.885641,0.0,58.12557,2.1801627,,0.027463848,0.9804748,5.771005993848211e-08,0.0,,1.0387335014694931e-08
22580,Dendritic cells pDC,CD4 T-cells,B2m,Cd3g,14.779759,0.0,80.00965,1.8839984,-inf,0.044372905,0.98330986,1.489918238370927e-07,0.0,,1.0514888146094239e-08
22578,Dendritic cells pDC,CD4 T-cells,B2m,Cd3d,14.628863,0.0,71.998474,2.002478,-inf,0.04430742,0.9824216,1.3243717893653314e-07,0.0,,1.077311781076381e-08
