,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
3019,Neutrophils,AT1,S100a8,Ager,5.186741,0.0,26.185425,4.9092617,5.954339,0.2039011,0.9856085,0.46087520787926195,0.0,2.5194547690724845e-08,1.9757006890369388e-16
3020,Neutrophils,AT1,S100a9,Ager,5.012284,0.0,24.671116,5.025849,5.9115047,0.23393762,0.9851799,0.4458569233182608,0.0,1.0781685337246829e-08,1.5805578112932789e-15
21216,Neutrophils,Endothelial,S100a8,Cd36,3.8022268,0.0,9.478736,3.276738,4.1897388,0.09807527,0.97630584,0.24180643120156245,0.0,6.751704068904453e-08,5.334373365829897e-15
21217,Neutrophils,Endothelial,S100a9,Cd36,3.62777,0.0,8.930578,3.3933253,4.1469045,0.11252268,0.975607,0.23086982004993373,0.0,6.751704068904453e-08,2.2175683560857897e-14
9472,Neutrophils,Alveolar macrophages,S100a8,Itgb2,3.5154042,0.0,6.0176983,3.0520399,3.8811483,0.05859825,0.97044134,0.1691257009516885,0.0,6.751704068904453e-08,8.092259595189605e-13
9473,Neutrophils,Alveolar macrophages,S100a9,Itgb2,3.3409474,0.0,5.6696935,3.1686273,3.8383138,0.06723032,0.96957487,0.16077926847659935,0.0,6.751704068904453e-08,2.1036495097277906e-12
9550,Neutrophils,Alveolar macrophages,S100a8,Cd68,3.3928082,0.0,4.538353,3.0502396,3.8499167,0.0789453,0.96611476,0.1174479541295205,0.0,6.751704068904453e-08,4.057266342242745e-11
9551,Neutrophils,Alveolar macrophages,S100a9,Cd68,3.2183514,0.0,4.275899,3.166827,3.8070822,0.090574674,0.96512604,0.11131018242190346,0.0,6.751704068904453e-08,6.775842787499805e-11
41149,AT2,Non-classical monocytes,Lyz2,Itgal,2.9381938,0.0,6.1105275,1.5955914,1.7930493,0.03514125,0.9706601,0.17219580800778259,0.0,6.751704068904453e-08,8.745698976391201e-11
149,AT1,AT1,App,Ager,2.863257,0.0,6.017269,3.036875,3.0998013,0.06826155,0.9704403,0.17128368383454795,0.0,6.751704068904453e-08,1.938239727308441e-10
21861,AT1,Interstitial macrophages,App,Cd74,2.8087144,0.0,5.8660283,1.3462588,1.7619028,0.018135106,0.970073,0.17393322400150282,0.0,6.751704068904453e-08,2.172922535443228e-10
653,Alveolar macrophages,AT1,S100a1,Ager,2.7450228,0.0,4.99098,3.010996,3.282962,0.084313594,0.9676369,0.13688901207619752,0.0,6.751704068904453e-08,2.5593158287233486e-10
32764,Lymphatic endothelial,Lymphatic endothelial,C3,Cd81,2.4875574,0.0,5.803019,4.834992,3.1382835,0.10706644,0.96991587,0.16322285313928464,0.0,6.751704068904453e-08,5.186505828800258e-10
5921,NK cells,AT2,Ccl5,Sdc4,2.4028943,0.0,3.6897721,2.5688484,3.065111,0.08540412,0.9625581,0.10972170810349574,0.0,6.751704068904453e-08,9.02466375527908e-10
24531,T-cells,Interstitial macrophages,Mif,Cd74_Cxcr4,2.416731,0.0,2.549081,0.9938704,1.5038948,0.014778935,0.955293,0.08274865265165378,0.0,1.0215724596632852e-07,2.1296621964380417e-09
