,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
2365,Neutrophils,AT1,S100a8,Ager,5.4344425,0.0,28.591099,4.6431875,5.907134,0.16809188,0.9864799,0.48267217684397146,0.0,2.3261093117904692e-08,1.4087712184121874e-16
2366,Neutrophils,AT1,S100a9,Ager,5.3005905,0.0,27.396109,4.661624,5.931881,0.18528311,0.9861922,0.47233794708212046,0.0,2.3261093117904692e-08,1.127015229311765e-15
19915,Neutrophils,Endothelial,S100a8,Cd36,4.055108,0.0,10.9217,2.3566766,4.038574,0.07602164,0.9783061,0.2700455477860047,0.0,2.3261093117904692e-08,1.6163902491022724e-14
19916,Neutrophils,Endothelial,S100a9,Cd36,3.9212556,0.0,10.465218,2.375113,4.0633206,0.08379658,0.9778484,0.261958541793563,0.0,2.3261093117904692e-08,2.7931181464653512e-14
8279,Neutrophils,Alveolar macrophages,S100a8,Itgb2,3.6930563,0.0,6.283787,1.7633694,3.371982,0.04148198,0.9715958,0.17367540216388316,0.0,2.3261093117904692e-08,4.3641879853359e-13
8280,Neutrophils,Alveolar macrophages,S100a9,Itgb2,3.559204,0.0,6.0211506,1.7818058,3.3967288,0.045724455,0.97100073,0.1678109112791466,0.0,2.3261093117904692e-08,7.541282786395092e-13
8353,Neutrophils,Alveolar macrophages,S100a8,Cd68,3.6041114,0.0,5.144395,1.8267478,3.4100678,0.053328305,0.96870106,0.14627497573564743,0.0,2.3261093117904692e-08,6.03286277824245e-12
8354,Neutrophils,Alveolar macrophages,S100a9,Cd68,3.4702592,0.0,4.9293804,1.8451841,3.4348145,0.05878234,0.9680473,0.1411776385400456,0.0,2.3261093117904692e-08,9.579876134508995e-12
1748,Lymphatic endothelial,AT1,App,Ager,2.9402208,0.0,6.323481,4.111948,3.4892702,0.077618875,0.9716826,0.17056453145192868,0.0,2.3261093117904692e-08,8.223914991945341e-11
36942,AT2,Non-classical monocytes,Lyz2,Itgal,2.9127696,0.0,5.1601787,1.3119314,1.4560535,0.028554264,0.96874744,0.1455944429755053,0.0,2.3261093117904692e-08,8.514131683393757e-11
