,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
968,Neutrophils,Endothelial,S100a8,Cd36,1.791616,0.0,1.8340484,4.5645523,2.7149193,0.41304788,0.98973334,0.09948372192486199,0.0,5.074308658982955e-12,1.4598108882409328e-14
484,Neutrophils,AT2,S100a8,Ager,1.6668538,0.0,1.0943137,4.485706,2.5023246,0.4828376,0.9867489,0.03589745632437714,0.0,5.074308658982955e-12,3.941432055123422e-13
969,Neutrophils,Endothelial,S100a9,Cd36,1.5623462,0.0,1.550371,5.4153037,2.51015,0.44519052,0.9888435,0.0851669541119309,0.0,5.074308658982955e-12,3.0902096804540402e-12
1289,Neutrophils,Myofibroblasts,S100a8,Cd68,1.6290059,0.0,0.8699075,3.9283066,2.379497,0.37409815,0.98516154,0.03092631785851283,0.0,5.074308658982955e-12,3.0902096804540402e-12
485,Neutrophils,AT2,S100a9,Ager,1.437584,0.0,0.9250532,5.3364573,2.2975552,0.52041113,0.98560417,0.03042228879912698,0.0,5.074308658982955e-12,3.1429848437649376e-11
1270,Neutrophils,Myofibroblasts,S100a8,Itgb2,1.5693173,0.0,0.51600486,3.86719,2.2902277,0.26291063,0.9808186,0.014716887317737274,0.0,5.074308658982955e-12,4.0053422728831524e-11
1290,Neutrophils,Myofibroblasts,S100a9,Cd68,1.3997362,0.0,0.7353565,4.779058,2.1747277,0.40320984,0.983882,0.02618876455870996,0.0,5.074308658982955e-12,4.828138617074758e-11
1271,Neutrophils,Myofibroblasts,S100a9,Itgb2,1.3400476,0.0,0.43619296,4.7179413,2.0854583,0.28336987,0.97917247,0.01243057944758625,0.0,5.074308658982955e-12,5.978732960877661e-11
957,Myofibroblasts,Endothelial,Spp1,S1pr1,1.0586303,0.0,0.42028922,1.1527923,1.3632917,0.26199517,0.97879034,0.013394875318118815,0.0,5.074308658982955e-12,1.7404612300940647e-10
744,Endothelial,Dendritic,App,Cd74,0.972657,0.0,0.6014199,0.8214686,1.0772007,0.086375095,0.9822077,0.02310674577183413,0.0,5.074308658982955e-12,3.8620922154802343e-10
1215,Myofibroblasts,Myofibroblasts,Apoe,Trem2,0.9572865,0.0,0.3134184,0.4069432,1.1420096,0.16028546,0.9755211,0.009652664947940492,0.0,1.0795935169481394e-11,5.140333286672791e-10
1611,Myofibroblasts,undefined,B2m,Cd3d,0.7305818,0.0,0.28711924,0.6862751,0.40858778,0.11926167,0.97445256,0.010014126515709444,0.0,5.074308658982955e-12,1.484906429160056e-09
1613,Myofibroblasts,undefined,B2m,Cd3g,0.7296376,0.0,0.2848017,0.6951849,0.40566432,0.13726892,0.9743515,0.00946315323443762,0.0,5.074308658982955e-12,1.5817071827618814e-09
839,AT1,Endothelial,Col1a2,Cd36,0.6587489,0.0,0.43234256,1.7761056,1.2554343,0.3677067,0.97908187,0.021641563695407765,0.0,5.074308658982955e-12,2.1291893619209737e-09
826,AT1,Endothelial,Lgals1,Itgb1,0.5508973,0.0,0.2805793,0.6026114,0.5788089,0.07915382,0.9741642,0.008691130561710591,0.0,5.7539982699310636e-12,3.4082660877784716e-09
1542,AT1,undefined,Lgals1,Ptprc,0.50971967,0.0,0.22274505,0.5173892,0.5459626,0.08878592,0.97109485,0.007400846497614492,0.0,5.074308658982955e-12,4.90486918124002e-09
1099,AT2,Myofibroblasts,Lcn2,Fcgr3,0.45846984,0.0,0.15929766,1.154933,0.7981598,0.13859615,0.9659992,0.0050790867991129295,0.0,5.074308658982955e-12,1.0079608679680589e-08
838,AT1,Endothelial,Col1a1,Cd36,0.45414323,0.0,0.17918225,1.4724023,0.8576181,0.34297973,0.9678789,0.004578136508926823,0.0,5.074308658982955e-12,1.1133397463336257e-08
1053,AT1,Myofibroblasts,Timp1,Cd63,0.44704255,0.0,0.19160798,0.9385747,0.63806856,0.22037534,0.9689049,0.006267631734803421,0.0,5.074308658982955e-12,1.2258169635910328e-08
418,Endothelial,AT2,App,Ager,0.37736237,0.0,0.14233458,0.8636677,0.4381329,0.107942574,0.9641008,0.0025896402317569355,0.0,5.074308658982955e-12,3.2133322807526196e-08
1621,Myofibroblasts,undefined,Mrc1,Ptprc,0.36683086,0.0,0.1321003,0.44439787,0.48856553,0.12211847,0.9627869,0.002498856098380738,0.0,6.766244357502271e-12,3.756271901791191e-08
1599,Endothelial,undefined,App,Rpsa,0.3659012,0.0,0.13349584,0.2800585,0.25031203,0.041070234,0.9629747,0.0028167158381753473,0.0,1.0315837070474847e-10,3.838495377941416e-08
865,AT2,Endothelial,H2-K1,Aplp2,0.36326426,0.0,0.12381446,0.28931522,0.1928279,0.03378711,0.9616089,0.004444915057051709,0.0,1.8740027875562922e-10,4.357142667611823e-08
357,Alveolar fibroblast,AT2,S100a1,Ager,0.358073,0.0,0.12809403,1.2280085,0.5577782,0.25133294,0.9622313,0.002254770194083734,0.0,5.074308658982955e-12,4.8234284875545755e-08
1545,AT2,undefined,H2-K1,Cd3d,0.34374237,0.0,0.10610723,0.6507504,0.30073065,0.101921,0.95865643,0.0031858337264519857,0.0,5.074308658982955e-12,6.655459924418821e-08
1547,AT2,undefined,H2-K1,Cd3g,0.3427981,0.0,0.10525076,0.65966016,0.29780716,0.117309995,0.9584955,0.0030094083734295684,0.0,5.074308658982955e-12,6.77568741911687e-08
1269,Neutrophils,Myofibroblasts,Hp,Itgb2,0.33498657,0.0,0.086317606,0.9388345,0.5167638,0.109439775,0.95436656,0.001219403319889201,0.0,5.074308658982955e-12,8.333075736758556e-08
923,Endothelial,Endothelial,App,Aplp2,0.32930076,0.0,0.10526995,0.3271874,0.24412392,0.042713586,0.95849913,0.002277523011988993,0.0,8.901470812404943e-11,1.0431554026740672e-07
51,AT1,AT1,C3,Cd81,0.32890964,0.0,0.081097014,0.96801484,0.7410645,0.22911943,0.9529886,0.0009488046965537195,0.0,5.074308658982955e-12,1.1258676451353326e-07
1448,Endothelial,Neutrophils,Gnai2,Cxcr2,0.29446524,0.0,0.077403374,2.6250322,0.47721803,0.18674842,0.9519333,0.0008165928188978538,0.0,5.074308658982955e-12,2.7486256930134067e-07
927,Endothelial,Endothelial,Col4a1,Cd47,0.26088077,0.0,0.06513945,0.75004905,0.3352908,0.07633459,0.9478294,0.0006938643307196898,0.0,7.000618695516213e-12,9.546742654042218e-07
1452,Myofibroblasts,Neutrophils,Spp1,Cd44,1.0424606,0.0,0.3589885,0.49896237,1.2312034,0.11389712,0.97709066,0.0,1.0,6.3339705027111584e-09,1.2826904341428685e-06
926,Endothelial,Endothelial,Gnai2,Cav1,0.24909496,0.0,0.05943715,0.7983603,0.34569758,0.113759555,0.9455173,0.000622096759450766,0.0,5.074308658982955e-12,1.3168843040730863e-06
52,AT1,AT1,Gpc3,Cd81,0.2149489,0.0,0.043641347,0.9329013,0.42550528,0.27531615,0.9369908,0.00033278235865590126,0.0,5.074308658982955e-12,3.217285701640694e-06
936,Endothelial,Endothelial,Gnai2,S1pr1,0.20986074,0.0,0.04390075,0.9357357,0.2945103,0.13605092,0.93716556,0.00038055194748309575,0.0,5.074308658982955e-12,3.3945182445402033e-06
1268,Neutrophils,Myofibroblasts,Selplg,Itgb2,0.20354119,0.0,0.040559683,0.5511517,0.29012308,0.13301092,0.9347942,0.00041051647010207054,0.0,5.074308658982955e-12,3.856832733488538e-06
1302,undefined,Myofibroblasts,Thy1,Itgax_Itgb2,0.1904312,0.0,0.035995927,0.6479811,0.32230902,0.19694771,0.9310604,0.00013624207031382647,0.0,5.074308658982955e-12,5.019573650747227e-06
1618,Myofibroblasts,undefined,Itgb2,Thy1,0.1904312,0.0,0.035995927,0.6479811,0.32230902,0.19694771,0.9310604,0.00013624207031382647,0.0,5.074308658982955e-12,5.019573650747227e-06
1233,Myofibroblasts,Myofibroblasts,Apoe,Lrp1,0.91620356,0.0,0.17095883,0.34088975,1.0652463,0.10611947,0.9671405,0.0,1.0,1.8236766220531144e-08,7.748329755708212e-06
1478,Myofibroblasts,Neutrophils,Apoe,Sorl1,0.9146278,0.0,0.16549467,0.6490346,1.0984651,0.12138891,0.9666204,0.0,1.0,6.3339705027111584e-09,8.55599868503231e-06
952,Myofibroblasts,Endothelial,Apoe,Scarb1,0.90857494,0.0,0.14450572,0.5495517,1.0749943,0.1692278,0.96436185,0.0,1.0,6.3339705027111584e-09,1.1537096224963386e-05
366,Alveolar fibroblast,AT2,Scgb1a1,Lrp2,1.0398973,0.0,0.1285249,0.9711026,1.264553,0.15233438,0.96229225,0.0,1.0,6.3339705027111584e-09,1.684171481808872e-05
1321,AT1,Neutrophils,Col1a2,Cd44,0.44411504,0.0,0.13235149,1.1193733,0.80326086,0.2204264,0.96282095,0.0,1.0,6.3339705027111584e-09,2.050406810640234e-05
845,AT1,Endothelial,Sparc,Eng,0.5750145,0.0,0.11454689,1.6424508,0.9686774,0.36437654,0.9601468,0.0,1.0,3.5525361432426597e-09,2.406132800410395e-05
1091,AT2,Myofibroblasts,Sftpd,Sirpa,0.68774843,0.0,0.11351424,1.5023233,1.1304656,0.20493205,0.95997316,0.0,1.0,6.3339705027111584e-09,2.4995019584144264e-05
461,Myofibroblasts,AT2,Apoe,Lrp2,0.8987774,0.0,0.11053181,0.7452154,1.0628178,0.256034,0.9594585,0.0,1.0,6.3339705027111584e-09,2.642883383699456e-05
854,AT1,Endothelial,Col1a2,Cd93,0.42733258,0.0,0.108894855,1.4578049,0.8669625,0.45920992,0.9591673,0.0,1.0,5.5846917271224816e-09,2.8402695822454875e-05
1456,Myofibroblasts,Neutrophils,Vim,Cd44,0.39657182,0.0,0.114343405,0.28036553,0.26338783,0.060811255,0.96011275,0.0,1.0,2.9679513830757853e-08,3.149655862109717e-05
848,AT1,Endothelial,C3,Nrp1,0.34921104,0.0,0.10113382,1.0436428,0.79542375,0.2501056,0.95769453,0.0,1.0,6.3339705027111584e-09,5.620049067962481e-05
184,Myofibroblasts,AT1,Apoe,Sdc2,0.89233524,0.0,0.08819285,0.57554597,1.0506881,0.18971442,0.9548323,0.0,1.0,6.3339705027111584e-09,6.199178339038095e-05
837,AT1,Endothelial,Thbs1,Cd36,0.37762004,0.0,0.084499456,1.1199499,0.6626721,0.23980527,0.95390075,0.0,1.0,6.3339705027111584e-09,7.523880729254309e-05
1549,AT2,undefined,H2-K1,Cd8b1,0.32931468,0.0,0.09302069,0.5991289,0.29368547,0.12900434,0.9559677,0.0,1.0,6.3339705027111584e-09,8.276955355817385e-05
953,Myofibroblasts,Endothelial,Lgals3,Eng,0.4245667,0.0,0.08140188,0.8313583,0.4788702,0.22043453,0.9530726,0.0,1.0,6.3339705027111584e-09,8.623153314954279e-05
282,AT1,AT2,Col1a2,Sdc1,0.40131283,0.0,0.072527364,1.345017,0.8043606,0.2940469,0.95042264,0.0,1.0,6.3339705027111584e-09,0.00011445053015741148
1240,Myofibroblasts,Myofibroblasts,Psap,Lrp1,0.40436816,0.0,0.07002148,0.2991699,0.4097811,0.107139945,0.94958764,0.0,1.0,2.528183613561924e-08,0.00013220588364189353
1239,Myofibroblasts,Myofibroblasts,C1qb,Lrp1,0.38315868,0.0,0.065838836,0.29189092,0.44995582,0.13329986,0.9480928,0.0,1.0,2.6869262622102737e-08,0.00014893160150688593
1455,Myofibroblasts,Neutrophils,Lpl,Cd44,0.2942056,0.0,0.075569876,0.33023998,0.3412308,0.08418789,0.95138186,0.0,1.0,2.0346715046221068e-08,0.00016182790155553554
1427,Endothelial,Neutrophils,Timp3,Cd44,0.28175372,0.0,0.070853435,0.9133766,0.45506337,0.14261447,0.94986963,0.0,1.0,6.3339705027111584e-09,0.00020104146832975172
1544,AT2,undefined,H2-K1,Cd8a,0.29234338,0.0,0.059486087,0.53323394,0.20623846,0.13595597,0.9455386,0.0,1.0,6.3339705027111584e-09,0.0002104820046776357
956,Myofibroblasts,Endothelial,Lgals3,Mcam,0.40902647,0.0,0.058434084,0.6329684,0.44492972,0.17905681,0.94507724,0.0,1.0,6.3339705027111584e-09,0.00022575294807293842
887,Alveolar fibroblast,Endothelial,Lgals3bp,Itgb1,0.27435833,0.0,0.059601646,0.56530446,0.31610394,0.075430214,0.9455885,0.0,1.0,8.800862805195953e-09,0.0002474350183935928
1493,Neutrophils,Neutrophils,Hp,Itgam,0.3051038,0.0,0.056678884,0.9437579,0.46097034,0.11695077,0.9442803,0.0,1.0,6.3339705027111584e-09,0.0002609192766286223
828,AT1,Endothelial,Timp2,Itgb1,0.2723577,0.0,0.05800298,0.5583334,0.32067946,0.093951866,0.9448848,0.0,1.0,6.3339705027111584e-09,0.0002609192766286223
1340,AT1,Neutrophils,C3,Itgam,0.30388734,0.0,0.05640082,0.8223099,0.6844124,0.22677821,0.94415087,0.0,1.0,6.3339705027111584e-09,0.0002670265945423377
1509,Neutrophils,Neutrophils,Vasp,Cxcr2,0.2698106,0.0,0.05812665,2.771541,0.51174635,0.2919244,0.9449402,0.0,1.0,6.3339705027111584e-09,0.0002826025667928853
1507,Neutrophils,Neutrophils,Cxcl2,Cxcr2,0.26727468,0.0,0.05614391,3.1882062,0.59080213,0.6867029,0.9440304,0.0,1.0,6.3339705027111584e-09,0.00029861794163398193
961,Neutrophils,Endothelial,Cd14,Itgb1,0.26714963,0.0,0.053841285,0.5259655,0.33373404,0.08524569,0.9429137,0.0,1.0,6.3339705027111584e-09,0.0003002436396850336
917,Endothelial,Endothelial,Vwf,Itgb1,0.26525337,0.0,0.05232602,0.9134118,0.35917944,0.19170657,0.9421405,0.0,1.0,6.3339705027111584e-09,0.00031340732704941064
1028,AT1,Myofibroblasts,C3,Lrp1,0.2960434,0.0,0.048659116,0.7809234,0.68937445,0.22402619,0.94012815,0.0,1.0,6.3339705027111584e-09,0.00034405293322875764
920,Endothelial,Endothelial,Cxcl12,Itgb1,0.26178885,0.0,0.049557574,0.8212025,0.36312386,0.13710591,0.940641,0.0,1.0,6.3339705027111584e-09,0.0003528179373587692
1451,Myofibroblasts,Neutrophils,Fn1,Cd44,0.25905955,0.0,0.062257502,0.29169384,0.25459963,0.08144812,0.9466992,0.0,1.0,2.7050142764863948e-08,0.00038527987799949096
1423,Endothelial,Neutrophils,Col4a1,Cd44,0.25214902,0.0,0.05963998,0.851185,0.367563,0.1310193,0.945605,0.0,1.0,6.3339705027111584e-09,0.00042882584369091875
1036,AT1,Myofibroblasts,Hsp90b1,Lrp1,0.27081084,0.0,0.043683086,0.1555455,0.12607838,0.05238479,0.93701905,0.0,1.0,9.077548059876977e-08,0.00043663562579731885
340,AT2,AT2,Lcn2,Lrp2,0.3739122,0.0,0.043610394,1.5102496,0.71915513,0.35369968,0.9369699,0.0,1.0,6.3339705027111584e-09,0.0004425389443187526
829,AT1,Endothelial,Fbn1,Itgb1,0.25408423,0.0,0.043400954,0.80598867,0.3278422,0.15609448,0.93682754,0.0,1.0,6.3339705027111584e-09,0.00044649638360366587
457,Myofibroblasts,AT2,Lpl,Sdc1,0.2514034,0.0,0.041411575,0.55588365,0.34233057,0.11230591,0.9354248,0.0,1.0,6.3339705027111584e-09,0.0004829012715307336
1317,AT1,Neutrophils,Col1a1,Cd44,0.23950937,0.0,0.054852426,0.81566995,0.4054447,0.20560353,0.9434124,0.0,1.0,6.3339705027111584e-09,0.0005228665346681826
1237,Myofibroblasts,Myofibroblasts,Lpl,Lrp1,0.24881409,0.0,0.039345182,0.25314677,0.3178812,0.0943671,0.9338615,0.0,1.0,3.801763103223965e-08,0.0005228665346681826
1442,Endothelial,Neutrophils,App,Fpr2,0.24247347,0.0,0.038309596,0.74200386,0.22087237,0.14491002,0.933033,0.0,1.0,6.3339705027111584e-09,0.000551120638097372
1191,Endothelial,Myofibroblasts,App,Lrp1,0.2420992,0.0,0.03802096,0.20868878,0.17520465,0.06204763,0.93279636,0.0,1.0,5.504454061734755e-08,0.0005644100946431272
932,Endothelial,Endothelial,Col4a1,Cd93,0.23536655,0.0,0.049069993,1.1896167,0.43126458,0.2729499,0.94036436,0.0,1.0,6.3339705027111584e-09,0.000568874865506942
921,Endothelial,Endothelial,Tgm2,Itgb1,0.2452711,0.0,0.036358535,0.5934843,0.29719418,0.09594513,0.9313814,0.0,1.0,6.3339705027111584e-09,0.0006029175281380632
1055,AT1,Myofibroblasts,C3,C3ar1,0.28147024,0.0,0.034275882,0.7609666,0.6685283,0.2514816,0.9294723,0.0,1.0,6.3339705027111584e-09,0.0006910882017559781
931,Endothelial,Endothelial,Timp3,Kdr,0.23278312,0.0,0.03421158,1.219181,0.46441633,0.3022709,0.92941076,0.0,1.0,6.3339705027111584e-09,0.0006960242850312116
851,AT1,Endothelial,Gpc3,Flt1,0.22510527,0.0,0.04903564,1.3439403,0.50596046,0.5898314,0.94034475,0.0,1.0,6.3339705027111584e-09,0.0007134378834349972
1488,Neutrophils,Neutrophils,Pkm,Cd44,0.22301139,0.0,0.04860344,0.36140245,0.20344451,0.07071023,0.94009596,0.0,1.0,1.556369827538822e-08,0.0007514717392226027
852,AT1,Endothelial,Col1a1,Cd93,0.22272691,0.0,0.04513094,1.1541016,0.4691463,0.42832974,0.93797433,0.0,1.0,6.3339705027111584e-09,0.0007566169758394431
955,Myofibroblasts,Endothelial,C1qa,Cd93,0.21685266,0.0,0.04330027,0.63965344,0.33397126,0.24729489,0.9367588,0.0,1.0,6.3339705027111584e-09,0.0008090272498679161
456,Myofibroblasts,AT2,Fn1,Sdc1,0.21625732,0.0,0.034116518,0.51733744,0.2556994,0.10865109,0.9293194,0.0,1.0,6.3339705027111584e-09,0.0008116934681971074
1503,Neutrophils,Neutrophils,Camp,Fpr2,0.21456578,0.0,0.032764234,2.5251944,0.9368331,0.7189258,0.9279795,0.0,1.0,4.3489838969363526e-09,0.0008250898300433852
1019,AT1,Myofibroblasts,C3,Itgax,0.27790293,0.0,0.03075507,0.7596395,0.6669705,0.23362835,0.92583597,0.0,1.0,6.3339705027111584e-09,0.000838594959957622
419,Endothelial,AT2,Col4a1,Sdc1,0.20934679,0.0,0.032682143,1.0768287,0.36866277,0.17477861,0.92789567,0.0,1.0,6.3339705027111584e-09,0.0008549446597557214
870,AT2,Endothelial,Icam1,Cav1,0.20819731,0.0,0.03488266,0.9482504,0.35356462,0.16539806,0.9300453,0.0,1.0,6.3339705027111584e-09,0.0008686890045496527
1027,AT1,Myofibroblasts,Calr,Lrp1,0.20742257,0.0,0.031182498,0.1445567,0.10600869,0.057532966,0.92630845,0.0,1.0,9.96163459452074e-08,0.0008797627454112981
943,Myofibroblasts,Endothelial,F13a1,Itgb1,0.2354771,0.0,0.028532315,0.40339944,0.28400278,0.09190881,0.92321897,0.0,1.0,1.1872018743418328e-08,0.0009737741424239187
876,AT2,Endothelial,Alcam,Nrp1,0.19946301,0.0,0.039755512,0.70863974,0.31222603,0.12182282,0.9341812,0.0,1.0,6.3339705027111584e-09,0.0009825551770819045
973,Neutrophils,Endothelial,Selplg,Esam,0.19759907,0.0,0.037790354,1.1359746,0.33757085,0.27618548,0.9326054,0.0,1.0,6.3339705027111584e-09,0.0010150865414258628
1520,undefined,Neutrophils,Mif,Cd74_Cxcr2,0.1970033,1.0,0.035410512,-0.13094574,-0.29540485,0.014052599,0.9305323,0.0,1.0,0.0001326424748583099,0.0010210577528231037
916,Endothelial,Endothelial,Adam15,Itgb1,0.23435995,0.0,0.027639613,0.54523134,0.2777564,0.114283554,0.92208475,0.0,1.0,6.3339705027111584e-09,0.0010240498670870753
1424,Endothelial,Neutrophils,Col4a2,Cd44,0.19673939,0.0,0.03865232,0.75271463,0.27476704,0.1410223,0.9333107,0.0,1.0,6.3339705027111584e-09,0.0010300471118957347
279,AT1,AT2,Col1a1,Sdc1,0.19670714,0.0,0.03005861,1.0413136,0.40654448,0.2742733,0.9250457,0.0,1.0,6.3339705027111584e-09,0.0010330522421004348
919,Endothelial,Endothelial,Nid1,Itgb1,0.23404461,0.0,0.027387638,0.69455355,0.2858597,0.13467887,0.92175514,0.0,1.0,6.3339705027111584e-09,0.0010360617106120614
1031,AT1,Myofibroblasts,Serpine2,Lrp1,0.19521147,0.0,0.028774386,0.65449727,0.4361972,0.16903168,0.9235179,0.0,1.0,6.3339705027111584e-09,0.0010451161442886368
722,Dendritic,Dendritic,S100a4,Ccr5,0.21797736,0.0,0.027183844,0.26250568,0.2064192,0.12685883,0.92148536,0.0,1.0,3.419257140706893e-08,0.00106334212298127
849,AT1,Endothelial,C4b,Nrp1,0.19052474,0.0,0.036091916,0.826928,0.35893333,0.27347884,0.93114585,0.0,1.0,6.3339705027111584e-09,0.0010940656645804705
959,Myofibroblasts,Endothelial,Pf4,Thbd,0.18962376,0.0,0.03133651,1.0058802,0.3836035,0.34923673,0.9264764,0.0,1.0,6.3339705027111584e-09,0.001125222696946537
