,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
16423,Neutrophils,Epithelial,S100a8,Ager,3.8723102,0.0,13.264062,6.896989,5.974818,0.56507427,0.9806634,0.31478665797748573,0.0,5.590440751049471e-11,3.324882838607654e-16
16424,Neutrophils,Epithelial,S100a9,Ager,3.6996183,0.0,12.381005,7.113188,5.782628,0.5812729,0.9799993,0.2983424699285583,0.0,1.855087192286181e-11,2.6599007862530448e-15
4980,Neutrophils,Aerocytes,S100a8,Cd36,3.5866435,0.0,10.300052,5.387472,4.561488,0.28948382,0.97811395,0.260439802923093,0.0,1.5479654452027278e-09,8.977146642967386e-15
4981,Neutrophils,Aerocytes,S100a9,Cd36,3.4139516,0.0,9.614326,5.603671,4.3692975,0.29778227,0.97736424,0.24581616226913228,0.0,1.220141899469047e-09,3.770296496040983e-14
9764,Aerocytes,Dendritic cells,App,Cd74,2.9679265,0.0,6.541933,1.6723514,2.0414019,0.034935076,0.97269017,0.19027327114710652,0.0,3.72622255262238e-08,1.5443041969679393e-13
9064,Neutrophils,B-cells,S100a8,Cd69,2.996354,0.0,4.175352,5.2782984,4.2532926,0.26447386,0.96604913,0.11851799673273312,0.0,2.5850038530735902e-09,4.596100054834144e-12
24721,Neutrophils,NK cells,S100a8,Cd68,2.914429,0.0,3.3253162,5.463214,4.149114,0.35340422,0.96211153,0.0939727438700457,0.0,2.3563091073857593e-10,9.998656472755172e-11
27153,T-cells,Neutrophils,Rps19,C5ar1,2.4369357,0.0,4.738466,4.4115334,2.0218968,0.08287023,0.96806383,0.13458173818788216,0.0,3.72622255262238e-08,1.222083360054381e-10
24631,Neutrophils,NK cells,S100a8,Itgb2,2.8949668,0.0,3.1233828,5.2147856,4.0715485,0.22717236,0.960953,0.0891606723211954,0.0,8.233116919871726e-09,1.5775792867557544e-10
24722,Neutrophils,NK cells,S100a9,Cd68,2.7417371,0.0,3.1039329,5.679413,3.9569235,0.36353502,0.96083564,0.08758917920066984,0.0,1.9354126900579627e-10,1.970334091212822e-10
3066,Adventitial fibroblasts,Aerocytes,Col1a2,Cd36,2.3324618,0.0,5.3199306,1.7572229,2.094877,0.108856894,0.96980536,0.15341124547163204,0.0,3.72622255262238e-08,2.668088899344659e-10
24632,Neutrophils,NK cells,S100a9,Itgb2,2.722275,0.0,2.9154432,5.4309845,3.8793578,0.23368455,0.9596397,0.08307401936136656,0.0,6.562793507691212e-09,3.324204115264175e-10
32809,Aerocytes,T-cells,B2m,Cd3d,2.2456582,0.0,3.9483423,1.9980264,1.3890865,0.04921641,0.9651204,0.12627403948819815,0.0,3.72622255262238e-08,4.829764706634754e-10
32811,Aerocytes,T-cells,B2m,Cd3g,2.2023287,0.0,3.66307,1.7582364,1.2945457,0.044988107,0.96383584,0.11604932031328938,0.0,3.72622255262238e-08,6.323954829517033e-10
3065,Adventitial fibroblasts,Aerocytes,Col1a1,Cd36,2.1946368,0.0,4.772653,1.7285379,2.0361137,0.108880475,0.96817476,0.13889322782930585,0.0,3.72622255262238e-08,6.625019683978072e-10
3101,Adventitial fibroblasts,Aerocytes,Sparc,Eng,2.141262,0.0,3.4085152,1.3221633,1.3184564,0.056264497,0.9625594,0.10754381854590317,0.0,3.72622255262238e-08,9.003937103599786e-10
17259,Transitioning epithelial,Epithelial,S100a1,Ager,2.1019406,0.0,4.211311,4.2031407,3.377146,0.25352272,0.9661895,0.12213333903005456,0.0,4.709899675047939e-09,9.775222556628775e-10
26838,Neutrophils,Neutrophils,Cxcl2,Cxcr2,2.094571,0.0,2.471007,7.351218,3.5367165,0.64481205,0.9563122,0.07422720133821355,0.0,2.068928083364172e-11,9.974690886027016e-10
9934,Alveolar fibroblasts,Dendritic cells,Mif,Cd74_Cxcr4,2.4846177,0.0,2.2177997,1.1436069,1.5787826,0.018632617,0.95399725,0.07620908818096542,0.0,7.444020413445321e-08,1.0799694352563726e-09
30015,Adventitial fibroblasts,SMCs,Col3a1,Itga1_Itgb1,2.0231266,0.0,3.4729896,1.1837097,1.5094204,0.037234925,0.9628956,0.10963860877166197,0.0,3.72622255262238e-08,1.1668973689876499e-09
14616,Aerocytes,Epithelial,App,Ager,2.0095627,0.0,3.738939,3.1624696,2.941021,0.1199293,0.9641915,0.1148980874967398,0.0,3.72622255262238e-08,1.212057831565411e-09
29983,Adventitial fibroblasts,SMCs,Col1a2,Itga1_Itgb1,1.9576049,0.0,3.3110604,1.256853,1.5648022,0.042906005,0.96203315,0.1055517109725213,0.0,3.72622255262238e-08,1.3544987192769926e-09
31972,Peribronchial fibroblasts,SMCs,Lgals1,Itgb1,1.9078875,0.0,3.1881895,1.0733479,1.112984,0.024128204,0.9613365,0.1018971494483641,0.0,3.72622255262238e-08,1.5611985456674218e-09
3004,Adventitial fibroblasts,Aerocytes,Col3a1,Itga2_Itgb1,1.8863833,0.0,2.7043395,0.9509167,1.266115,0.028994005,0.95815873,0.08832784561290973,0.0,3.72622255262238e-08,1.6021560782964185e-09
32818,Aerocytes,T-cells,App,Rpsa,1.8644414,0.0,3.3144925,1.5246258,1.3195547,0.02165047,0.96205205,0.10385692704143337,0.0,3.72622255262238e-08,1.7879221951696423e-09
12169,Adventitial fibroblasts,Endothelial,Col1a2,Cd93,1.8642733,0.0,2.8108933,1.5903535,1.9699843,0.14834659,0.95892656,0.09258238145653912,0.0,3.72622255262238e-08,1.817716660735743e-09
25577,Adventitial fibroblasts,Neutrophils,Col1a2,Cd44,1.8353728,0.0,2.6560144,1.7649889,1.7684004,0.075106196,0.9577958,0.08874278079044186,0.0,3.72622255262238e-08,2.1008948708334595e-09
27344,Adventitial fibroblasts,Peribronchial fibroblasts,Col1a2,Itga9_Itgb1,1.8237987,0.0,2.5939882,1.0290605,1.3118805,0.033613905,0.9573156,0.08551707253370117,0.0,3.72622255262238e-08,2.3404195610457703e-09
