,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
14433,Neutrophils,Epithelial,S100a8,Ager,4.0829577,0.0,14.036958,4.7359447,6.253927,0.39164177,0.9820764,0.310052958950192,0.0,1.0973064051838911e-10,3.6834914938261834e-16
14434,Neutrophils,Epithelial,S100a9,Ager,3.9030886,0.0,13.151957,4.766694,6.08029,0.40805435,0.9814942,0.2959463870936094,0.0,1.0287494996403124e-10,2.9467869078400386e-15
3940,Neutrophils,Aerocytes,S100a8,Cd36,3.7717109,0.0,10.485138,4.1607957,4.772653,0.23172133,0.9793199,0.2606187941494335,0.0,5.3751980176011085e-09,9.945384594589563e-15
3941,Neutrophils,Aerocytes,S100a9,Cd36,3.5918417,0.0,9.824072,4.191545,4.5990157,0.24143212,0.97865,0.24795305450872973,0.0,4.2464295647855855e-09,4.2283847179146524e-14
8172,Aerocytes,Dendritic cells,App,Cd74,3.1059935,0.0,7.3262215,1.8830292,2.3225875,0.041582014,0.97536,0.20502193607168817,0.0,1.9253869955202608e-08,4.502328023406564e-13
21429,Neutrophils,NK cells,S100a8,Cd68,3.1888542,0.0,3.8338215,4.367831,4.4241385,0.35200566,0.9662563,0.10856187517779829,0.0,2.6425740417657773e-10,1.3236459605932041e-11
21430,Neutrophils,NK cells,S100a9,Cd68,3.008985,0.0,3.592107,4.3985806,4.250501,0.36675724,0.9651784,0.10226382763981602,0.0,1.7583608148871037e-10,3.585019045655098e-11
21368,Neutrophils,NK cells,S100a8,Itgb2,3.127667,0.0,3.13558,3.8689678,4.271875,0.18212053,0.9628206,0.08861866725251122,0.0,1.9253869955202608e-08,1.492406676475737e-10
21369,Neutrophils,NK cells,S100a9,Itgb2,2.9477978,0.0,2.9378881,3.899717,4.0982375,0.18975268,0.96163726,0.08336939082232402,0.0,1.9253869955202608e-08,2.261718793994278e-10
23179,T-cells,Neutrophils,Rps19,C5ar1,2.534248,0.0,5.4162703,3.2402198,2.0869577,0.07839631,0.97145766,0.16332821659416438,0.0,1.9253869955202608e-08,2.54865583856999e-10
10227,T-cells,Dendritic cells,Mif,Cd74_Cxcr4,2.580874,0.0,2.4641736,1.3473957,1.8546221,0.026664814,0.9582589,0.08064108818256983,0.0,1.9253869955202608e-08,3.382041320318339e-10
27173,Aerocytes,T-cells,B2m,Cd3d,2.163767,0.0,4.0114136,2.20403,1.5483832,0.068356745,0.9669868,0.1220716777663857,0.0,1.9253869955202608e-08,1.2350724186352825e-09
27175,Aerocytes,T-cells,B2m,Cd3g,2.1138513,0.0,3.713657,2.0021975,1.4591808,0.06157932,0.9657333,0.11337296983440048,0.0,1.9253869955202608e-08,1.2838144332127544e-09
12733,Aerocytes,Epithelial,App,Ager,2.021322,0.0,3.8931947,2.3384864,3.0573714,0.09440274,0.96650594,0.11051078387225853,0.0,1.9253869955202608e-08,1.4376994172914453e-09
11512,Myofibroblasts,Endothelial,Sparc,Eng,2.0163863,0.0,3.7716656,1.4125006,1.6100662,0.058391396,0.9659888,0.11272619078888918,0.0,1.9253869955202608e-08,1.4644851266536235e-09
15142,Transitioning epithelial,Epithelial,S100a1,Ager,1.9911036,0.0,3.7445126,2.9580424,3.23748,0.17136838,0.9658699,0.10416348274643851,0.0,1.9253869955202608e-08,1.4916014445976333e-09
27182,Aerocytes,T-cells,App,Rpsa,1.9196895,0.0,3.571524,1.5158813,1.3925943,0.022196379,0.9650817,0.10854517573321351,0.0,2.1482986004051842e-08,1.7206771207085028e-09
4814,Adventitial fibroblasts,Alveolar fibroblasts,Gpc3,Cd81,1.8824993,0.0,3.3426144,1.2540164,1.5650392,0.06345208,0.9639482,0.1007615067025665,0.0,1.9253869955202608e-08,1.939397490681349e-09
2394,Adventitial fibroblasts,Aerocytes,Col1a2,Cd36,1.801012,0.0,3.2423031,1.8388251,1.8905705,0.09789611,0.963415,0.09928659663647525,0.0,1.9253869955202608e-08,2.546013096334376e-09
26027,Myofibroblasts,SMCs,Lgals1,Itgb1,1.7795722,0.0,2.5707998,1.1343575,1.2224705,0.025623543,0.959098,0.083450155443863,0.0,1.9253869955202608e-08,2.9130362767745793e-09
25321,Alveolar fibroblasts,SMCs,Apoe,Sdc2,1.7739091,0.0,2.1423242,0.8770858,1.0657222,0.038005397,0.9553682,0.062307404328889385,0.0,1.9253869955202608e-08,2.955868231666324e-09
15888,Alveolar fibroblasts,Myofibroblasts,Apoe,Lrp1,1.766032,0.0,2.098589,0.97175443,1.0745404,0.042563364,0.9549264,0.06231010500825009,0.0,1.9253869955202608e-08,3.0427874169382283e-09
22726,Myofibroblasts,Neutrophils,Lgals1,Ptprc,1.7480668,0.0,2.4100192,1.4642811,1.4676112,0.035010625,0.95781225,0.07543224698543188,0.0,1.9253869955202608e-08,3.360397702219663e-09
22963,Neutrophils,Neutrophils,Pglyrp1,Trem1,1.7316028,0.0,2.8575892,4.936047,2.7345088,0.50961703,0.96112275,0.0980973473964136,0.0,5.014900269752767e-10,3.600301210211662e-09
