"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","0610010O12Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","0610011F06Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","0610040J01Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","1110007C09Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","1110018G07Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","1190003J15Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","1700007G11Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","1810010H24Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","1810010H24Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","1810019D21Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","1810037I17Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","1810046K07Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","2200002D01Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","2210016L21Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","2310030G06Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","2510002D24Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","2610018G03Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","2610528J11Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","2810025M15Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","2810025M15Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","2810417H13Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","3110001D03Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","3425401B19Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","44812","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","4833423E24Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","4930451C15Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","4931406P16Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","5330417C22Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","6030408B16Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","6330403K07Ril","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","6820408C15Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","8430419L09Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","9430020K01Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","A3galt2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","AA986860","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Aass","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Abca3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Abca9","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lipofibroblast","Abcg1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ablim1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","AC107641.2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","AC119810.1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","AC124170.2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","AC124170.2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","AC148011.4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","AC161518.1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Acap2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ace","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Ackr4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Acly","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Acly","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Acsl4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Acsl4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.B","Acta1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2-Palpha+ cell","Acta2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.E","Acta2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Acta2","Single-cell sequencing","2","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Acta2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2-Palpha+ cell","Actc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.E","Actc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2-Palpha+ cell","Actg2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Actg2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Actg2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2-Palpha+ cell","Actn1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Actn4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Acvrl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Adam15","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Adamts13","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Adamts18","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Adamts19","Single-cell sequencing","1","DETAIL"
